shop_id,city_name,location_id,per_pay,score,comment_cnt,shop_level,cate_1_name,cate_2_name,cate_3_name
1,湖州,885,8,4,12,2,美食,休闲茶饮,饮品/甜点
2,哈尔滨,64,19,0,0,1,超市便利店,超市,
3,南昌,774,5,3,2,0,美食,休闲茶饮,奶茶
4,天津,380,18,0,0,1,超市便利店,超市,
5,杭州,263,2,2,2,0,美食,休闲食品,生鲜水果
6,大连,1139,13,3,1,0,美食,烘焙糕点,面包
7,绍兴,145,13,3,9,2,美食,快餐,西式快餐
8,杭州,234,16,3,1,0,美食,休闲食品,生鲜水果
9,杭州,1120,15,4,0,1,超市便利店,超市,
10,孝感,98,10,0,0,0,超市便利店,超市,
11,上海,134,12,3,1,0,美食,小吃,其它小吃
12,宁波,786,20,1,2,0,美食,中餐,东北菜
13,杭州,286,6,0,2,0,美食,快餐,中式快餐
14,深圳,862,7,1,4,2,美食,快餐,中式快餐
15,西安,101,19,0,0,0,超市便利店,超市,
16,武汉,510,17,3,3,2,美食,小吃,其它小吃
17,厦门,707,15,2,7,2,美食,快餐,西式快餐
18,福州,260,7,4,1,0,美食,火锅,麻辣烫/串串香
19,上海,701,11,3,5,2,美食,休闲茶饮,饮品/甜点
20,广州,251,5,2,3,0,美食,汤/粥/煲/砂锅/炖菜,粥
21,上海,860,9,3,1,0,美食,烘焙糕点,蛋糕
22,重庆,777,6,2,3,2,美食,烘焙糕点,面包
23,青岛,645,3,3,0,1,超市便利店,便利店,
24,温州,1058,12,2,2,1,美食,其他美食,西餐
25,昆明,354,14,3,9,2,美食,快餐,西式快餐
26,厦门,620,12,1,3,1,美食,快餐,中式快餐
27,济南,109,2,3,2,1,美食,快餐,中式快餐
28,泉州,975,14,2,4,2,美食,快餐,西式快餐
29,广州,552,6,1,2,0,美食,小吃,米粉/米线
30,中山,498,7,2,2,2,美食,快餐,西式快餐
31,北京,571,18,0,0,1,超市便利店,超市,
32,杭州,789,2,4,0,1,超市便利店,便利店,
33,成都,1159,20,0,0,1,超市便利店,超市,
34,南京,680,4,3,10,0,美食,休闲茶饮,奶茶
35,东莞,296,18,2,0,0,超市便利店,超市,
