shop_id,city_name,location_id,per_pay,score,comment_cnt,shop_level,cate_1_name,cate_2_name,cate_3_name
1,0,885,8,4,12,2,0,0,0
2,1,64,19,0,0,1,1,1,1
3,2,774,5,3,2,0,0,0,2
4,3,380,18,0,0,1,1,1,1
5,4,263,2,2,2,0,0,2,3
6,5,1139,13,3,1,0,0,3,4
7,6,145,13,3,9,2,0,4,5
8,4,234,16,3,1,0,0,2,3
9,4,1120,15,4,0,1,1,1,1
10,7,98,10,0,0,0,1,1,1
11,8,134,12,3,1,0,0,5,6
12,9,786,20,1,2,0,0,6,7
13,4,286,6,0,2,0,0,4,8
14,10,862,7,1,4,2,0,4,8
15,11,101,19,0,0,0,1,1,1
16,12,510,17,3,3,2,0,5,6
17,13,707,15,2,7,2,0,4,5
18,14,260,7,4,1,0,0,7,9
19,8,701,11,3,5,2,0,0,0
20,15,251,5,2,3,0,0,8,10
21,8,860,9,3,1,0,0,3,11
22,16,777,6,2,3,2,0,3,4
23,17,645,3,3,0,1,1,9,1
24,18,1058,12,2,2,1,0,10,12
25,19,354,14,3,9,2,0,4,5
26,13,620,12,1,3,1,0,4,8
27,20,109,2,3,2,1,0,4,8
28,21,975,14,2,4,2,0,4,5
29,15,552,6,1,2,0,0,5,13
30,22,498,7,2,2,2,0,4,5
31,23,571,18,0,0,1,1,1,1
32,4,789,2,4,0,1,1,9,1
33,24,1159,20,0,0,1,1,1,1
34,25,680,4,3,10,0,0,0,2
35,26,296,18,2,0,0,1,1,1
36,22,795,17,4,0,0,1,1,1
37,8,639,9,3,4,2,0,4,5
38,15,36,2,3,0,0,1,9,1
39,8,205,9,2,6,0,0,2,3
40,0,1125,18,0,0,0,1,1,1
41,8,1054,10,3,9,2,0,4,5
42,12,198,1,3,2,0,0,0,2
43,27,102,15,2,3,2,0,4,5
44,28,1088,20,4,5,2,0,7,14
45,9,436,16,1,0,0,0,6,15
46,25,575,10,0,0,1,1,1,1
47,23,322,6,0,0,1,1,9,1
48,6,516,18,0,0,0,1,1,1
49,29,253,19,3,0,1,1,1,1
50,8,93,14,3,0,2,0,3,4
51,23,659,12,2,3,2,0,4,8
52,6,192,7,3,2,0,0,0,2
53,4,264,2,0,0,1,1,9,1
54,12,423,9,0,0,1,1,1,1
55,8,357,10,3,8,2,0,4,5
56,24,55,14,3,6,2,0,4,5
57,8,229,14,2,8,2,0,4,5
58,4,1093,19,3,2,1,1,1,1
59,8,229,4,0,0,1,1,9,1
