shop_id,2016-09-20,2016-09-21,2016-09-22,2016-09-23,2016-09-24,2016-09-25,2016-09-26
1,223.0,206.0,220.0,241.0,272.0,240.0,225.0
2,77.0,82.0,71.0,71.0,96.0,121.0,67.0
3,62.0,59.0,55.0,79.0,112.0,83.0,88.0
4,74.0,101.0,102.0,98.0,203.0,199.0,91.0
5,277.0,272.0,309.0,182.0,179.0,4.0,305.0
6,77.0,68.0,74.0,73.0,67.0,89.0,83.0
7,105.0,116.0,105.0,141.0,168.0,180.0,109.0
8,62.0,65.0,57.0,71.0,69.0,73.0,55.0
9,238.0,214.0,229.0,242.0,288.0,324.0,212.0
10,73.0,104.0,69.0,76.0,73.0,89.0,80.0
11,100.0,98.0,80.0,103.0,58.0,49.0,70.0
12,54.0,61.0,76.0,85.0,120.0,111.0,74.0
13,227.0,226.0,213.0,246.0,255.0,225.0,215.0
14,68.0,61.0,38.0,83.0,74.0,77.0,83.0
15,150.0,134.0,122.0,120.0,154.0,187.0,115.0
16,42.0,52.0,30.0,64.0,60.0,45.0,48.0
17,88.0,92.0,83.0,113.0,118.0,120.0,84.0
18,65.0,77.0,77.0,103.0,114.0,100.0,77.0
19,150.0,142.0,145.0,154.0,215.0,208.0,141.0
20,142.0,122.0,141.0,177.0,130.0,108.0,144.0
21,84.0,85.0,74.0,91.0,127.0,119.0,68.0
22,88.0,74.0,79.0,96.0,108.0,77.0,87.0
23,143.0,153.0,153.0,166.0,86.0,54.0,21.0
24,63.0,46.0,76.0,52.0,121.0,100.0,42.0
25,100.0,106.0,111.0,126.0,137.0,132.0,110.0
26,76.0,74.0,51.0,56.0,126.0,143.0,54.0
27,80.0,112.0,81.0,99.0,81.0,68.0,72.0
28,157.514403292,119.102880658,100.670781893,120.810699589,130.547325103,126.711934156,66.4348422497
29,76.0,92.0,89.0,100.0,169.0,180.0,95.0
30,20.0,28.0,36.0,44.0,60.0,42.0,38.0
31,305.0,292.0,284.0,379.0,521.0,591.0,328.0
32,401.0,435.0,494.0,469.0,160.0,131.0,472.0
33,50.0,65.0,55.0,67.0,107.0,102.0,80.0
34,326.0,338.0,264.0,480.0,506.0,299.0,367.0
35,122.0,152.0,151.0,119.0,194.0,231.0,153.0
36,69.0,66.0,60.0,56.0,65.0,68.0,60.0
37,195.0,175.0,243.0,228.0,255.0,325.0,191.0
38,121.0,93.0,85.0,95.0,66.0,57.0,102.0
39,179.0,180.0,257.0,316.0,477.0,475.0,306.0
40,94.0,76.0,69.0,83.0,123.0,116.0,59.0
41,137.0,151.0,174.0,208.0,389.0,352.0,157.0
42,79.0,75.0,111.0,106.0,155.0,141.0,124.0
43,58.0,46.0,55.0,75.0,58.0,72.0,72.0
44,44.0,56.0,52.0,32.0,25.0,71.0,55.0
45,44.0,37.0,48.0,50.0,75.0,77.0,46.0
46,211.0,217.0,205.0,220.0,186.0,187.0,189.0
47,150.0,149.0,167.0,163.0,101.0,107.0,195.0
48,408.0,289.0,306.0,430.0,538.0,503.0,335.0
49,362.0,361.0,365.0,379.0,545.0,585.0,336.0
50,47.0,58.0,44.0,54.0,60.0,65.0,50.0
51,55.0,48.0,16.0,54.0,38.0,35.0,60.0
52,52.0,46.0,43.0,51.0,122.0,114.0,47.0
53,109.0,101.0,128.0,154.0,182.0,147.0,126.0
54,334.0,310.0,357.0,328.0,327.0,337.0,344.0
55,291.0,275.0,263.0,342.0,314.0,298.0,311.0
56,63.0,67.0,59.0,56.0,86.0,73.0,57.0
57,263.0,256.0,303.0,277.0,285.0,296.0,299.0
58,1677.0,1467.0,1590.0,1722.0,1841.0,1809.0,1584.0
59,152.0,180.0,184.0,236.0,177.0,151.0,173.0
60,139.0,139.0,141.0,139.0,136.0,136.0,131.0
61,75.0,77.0,73.0,83.0,96.0,82.0,80.0
62,77.0,68.0,65.0,85.0,100.0,98.0,79.0
63,234.0,207.0,185.0,182.0,215.0,276.0,190.0
64,16.0288065844,27.2304526749,16.9931412895,24.6305441244,26.5994513032,12.0425240055,14.2962962963
65,412.666666667,439.666666667,418.888888889,440.444444444,738.0,737.111111111,427.666666667
66,51.0,39.0,32.0,60.0,90.0,66.0,46.0
67,68.0,67.0,87.0,107.0,144.0,140.0,62.0
68,35.0,56.0,66.0,59.0,63.0,63.0,54.0
69,93.0,105.0,113.0,122.0,134.0,146.0,125.0
70,33.0,58.0,54.0,45.0,62.0,78.0,57.0
71,144.0,129.0,152.0,200.0,128.0,133.0,153.0
72,467.0,414.0,428.0,466.0,602.0,556.0,498.0
73,81.0,77.0,82.0,84.0,103.0,94.0,106.0
74,107.0,113.0,102.0,113.0,146.0,127.0,94.0
75,64.0,85.0,62.0,93.0,82.0,104.0,86.0
76,2.0,17.0,21.0,38.0,62.0,48.0,43.0
77,95.0,104.0,120.0,152.0,123.0,142.0,115.0
78,66.0,49.0,59.0,69.0,53.0,55.0,56.0
79,160.0,142.0,138.0,128.0,61.0,53.0,156.0
80,58.0,63.0,56.0,62.0,79.0,63.0,53.0
81,110.0,102.0,108.0,118.0,111.0,114.0,128.0
82,103.0,81.0,70.0,106.0,80.0,64.0,101.0
83,89.0,122.0,98.0,147.0,210.0,187.0,112.0
84,170.0,142.0,160.0,177.0,299.0,271.0,128.0
85,79.0,64.0,72.0,85.0,106.0,112.0,63.0
86,136.0,112.0,99.0,149.0,172.0,167.0,103.0
87,135.0,132.0,71.0,137.0,43.0,42.0,133.0
88,377.0,388.0,406.0,450.0,662.0,623.0,382.0
89,38.0,25.0,45.0,73.0,78.0,64.0,54.0
90,183.0,156.0,202.0,258.0,388.0,357.0,195.0
91,87.0,89.0,88.0,84.0,193.0,128.0,106.0
92,96.0,103.0,121.0,105.0,159.0,152.0,81.0
93,131.0,143.0,147.0,148.0,111.0,132.0,139.0
94,116.0,135.0,128.0,120.0,98.0,85.0,122.0
95,87.0,102.0,106.0,85.0,76.0,75.0,103.0
96,145.0,126.0,163.0,134.0,155.0,141.0,131.0
97,109.0,130.0,143.0,131.0,120.0,153.0,197.0
98,49.0,60.0,53.0,71.0,98.0,76.0,68.0
99,44.0,34.0,35.0,21.0,27.0,28.0,55.0
100,359.0,389.0,399.0,450.0,487.0,326.0,402.0
101,91.0,103.0,106.0,140.0,191.0,163.0,94.0
102,135.0,119.0,154.0,134.0,139.0,162.0,149.0
103,96.0,88.0,78.0,80.0,104.0,91.0,65.0
104,71.0,119.0,95.0,100.0,99.0,87.0,100.0
105,83.0,82.0,84.0,116.0,178.0,167.0,89.0
106,73.0,79.0,63.0,86.0,57.0,72.0,96.0
107,75.0,79.0,49.0,152.0,242.0,179.0,50.0
108,81.0,103.0,93.0,95.0,129.0,133.0,69.0
109,109.0,109.0,118.0,113.0,127.0,101.0,126.0
110,153.0,197.0,160.0,185.0,159.0,94.0,146.0
111,75.0,78.0,64.0,78.0,67.0,58.0,68.0
112,125.0,107.0,124.0,127.0,140.0,167.0,100.0
113,142.0,45.0,109.0,115.0,101.0,104.0,181.0
114,570.0,559.0,615.0,690.0,501.0,473.0,563.0
115,362.0,494.0,493.0,529.0,450.0,482.0,485.0
116,391.0,342.0,408.0,410.0,336.0,345.0,427.0
117,127.0,90.0,96.0,132.0,230.0,213.0,119.0
118,117.0,114.0,131.0,117.0,53.0,57.0,113.0
119,38.0,29.0,41.0,55.0,83.0,58.0,42.0
120,275.0,254.0,296.0,282.0,335.0,411.0,263.0
