shop_id,2016-09-20,2016-09-21,2016-09-22,2016-09-23,2016-09-24,2016-09-25,2016-09-26
1,31.0,20.0,22.0,31.0,25.0,18.0,25.0
2,26.0,30.0,30.0,28.0,40.0,40.0,29.0
3,6.0,0.0,4.0,2.0,3.0,8.0,2.0
4,30.0,22.0,25.0,20.0,57.0,37.0,29.0
5,6.0,9.0,4.0,1.0,3.0,5.0,3.0
6,6.0,2.0,4.0,6.0,4.0,5.0,12.0
7,16.0,23.0,12.0,11.0,14.0,16.0,11.0
8,10.0,10.0,7.0,4.0,7.0,10.0,15.0
9,7.0,10.0,9.0,8.0,10.0,13.0,11.0
10,0.0,1.0,1.0,0.0,1.0,1.0,0.0
11,1.0,3.0,4.0,1.0,2.0,2.0,2.0
12,11.0,8.0,33.0,10.0,11.0,21.0,10.0
13,4.0,2.0,0.0,2.0,3.0,3.0,2.0
14,65.0,66.0,63.0,44.0,51.0,88.0,52.0
15,1.0,1.0,1.0,2.0,3.0,3.0,4.0
16,29.0,33.0,32.0,35.0,41.0,32.0,24.0
17,26.0,27.0,20.0,21.0,32.0,39.0,25.0
18,3.0,4.0,6.0,7.0,7.0,3.0,7.0
19,7.0,9.0,5.0,5.0,3.0,8.0,2.0
20,4.0,10.0,5.0,4.0,4.0,7.0,11.0
21,2.0,1.0,6.0,1.0,6.0,4.0,3.0
22,17.0,16.0,10.0,10.0,15.0,11.0,16.0
23,0.0,1.0,1.0,1.0,3.0,1.0,1.0
24,18.0,14.0,7.0,9.0,14.0,16.0,23.0
25,16.0,18.0,11.0,24.0,23.0,19.0,12.0
26,7.0,12.0,3.0,3.0,16.0,7.0,9.0
27,5.0,6.0,0.0,5.0,4.0,7.0,2.0
28,15.0,8.0,14.0,19.0,4.0,20.0,13.0
29,1.0,9.0,3.0,1.0,3.0,0.0,1.0
30,40.0,32.0,52.0,35.0,43.0,54.0,34.0
31,4.0,6.0,7.0,7.0,7.0,11.0,0.0
32,4.0,4.0,3.0,4.0,1.0,3.0,3.0
33,6.0,6.0,15.0,8.0,11.0,12.0,15.0
