shop_id,2016-10-11,2016-10-12,2016-10-13,2016-10-14,2016-10-15,2016-10-16,2016-10-17
1,45.0,42.0,26.0,35.0,30.0,20.0,25.0
2,27.0,25.0,23.0,25.0,33.0,30.0,23.0
3,15.0,8.0,9.0,6.0,10.0,4.0,4.0
4,28.0,27.0,28.0,20.0,33.0,46.0,25.0
5,12.0,7.0,9.0,6.0,1.0,7.0,1.0
6,9.0,11.0,8.0,10.0,10.0,10.0,5.0
7,24.0,29.0,14.0,20.0,34.0,25.0,7.0
8,11.0,11.0,5.0,5.0,2.0,3.0,6.0
9,11.0,6.0,5.0,5.0,10.0,6.0,5.0
10,0.0,4.0,0.0,0.0,1.0,3.0,4.0
11,1.0,6.0,9.0,3.0,5.0,4.0,2.0
12,14.0,12.0,15.0,21.0,13.0,21.0,14.0
13,14.0,6.0,8.0,10.0,7.0,4.0,4.0
14,9.0,11.0,19.0,16.0,12.0,16.0,13.0
15,2.0,0.0,2.0,1.0,0.0,0.0,2.0
16,13.0,11.0,20.0,34.0,24.0,23.0,19.0
17,23.0,33.0,28.0,19.0,37.0,31.0,24.0
18,11.0,14.0,12.0,3.0,8.0,4.0,3.0
19,10.0,6.0,9.0,3.0,9.0,8.0,7.0
20,17.0,16.0,17.0,8.0,7.0,3.0,9.0
21,6.0,3.0,4.0,6.0,4.0,4.0,3.0
22,43.0,45.0,43.0,32.0,38.0,37.0,44.0
23,0.0,1.0,0.0,4.0,0.0,0.0,1.0
24,23.0,17.0,21.0,17.0,17.0,12.0,19.0
25,34.0,8.0,30.0,24.0,12.0,25.0,16.0
26,9.0,5.0,19.0,9.0,16.0,19.0,4.0
27,12.0,6.0,7.0,5.0,13.0,10.0,7.0
28,21.0,34.0,24.0,25.0,30.0,34.0,35.0
29,5.0,9.0,8.0,8.0,6.0,6.0,1.0
30,33.0,45.0,48.0,41.0,40.0,29.0,41.0
31,4.0,9.0,1.0,3.0,8.0,4.0,7.0
32,0.0,1.0,1.0,1.0,1.0,2.0,5.0
33,18.0,14.0,9.0,12.0,16.0,20.0,9.0
34,23.0,40.0,21.0,21.0,30.0,15.0,13.0
35,6.0,2.0,2.0,3.0,5.0,10.0,7.0
36,3.0,2.0,3.0,5.0,3.0,2.0,2.0
37,19.0,16.0,21.0,14.0,14.0,15.0,18.0
38,4.0,0.0,0.0,1.0,1.0,1.0,2.0
39,39.0,32.0,32.0,22.0,8.0,21.0,9.0
40,1.0,2.0,1.0,2.0,0.0,0.0,1.0
41,39.0,51.0,38.0,20.0,19.0,17.0,35.0
42,8.0,7.0,11.0,6.0,13.0,2.0,1.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,194.0,182.0,152.0,166.0,248.0,211.0,142.0
45,3.0,6.0,4.0,1.0,2.0,3.0,4.0
46,7.0,3.0,2.0,4.0,5.0,4.0,3.0
47,1.0,0.0,0.0,0.0,1.0,0.0,1.0
48,3.0,2.0,5.0,0.0,8.0,4.0,3.0
49,40.0,37.0,37.0,52.0,55.0,42.0,40.0
50,20.0,16.0,12.0,14.0,9.0,18.0,17.0
51,8.0,6.0,4.0,8.0,5.0,7.0,8.0
52,8.0,14.0,6.0,6.0,9.0,2.0,7.0
53,1.0,2.0,2.0,0.0,0.0,0.0,0.0
54,11.0,8.0,11.0,7.0,10.0,15.0,8.0
55,33.0,37.0,26.0,35.0,35.0,24.0,12.0
56,14.0,11.0,9.0,15.0,27.0,17.0,5.0
57,29.0,28.0,17.0,10.0,24.0,14.0,15.0
58,32.0,41.0,49.0,44.0,50.0,42.0,24.0
59,0.0,1.0,0.0,1.0,1.0,2.0,0.0
60,28.0,19.0,17.0,16.0,22.0,20.0,13.0
61,7.0,9.0,6.0,5.0,8.0,3.0,4.0
62,29.0,18.0,14.0,22.0,28.0,34.0,20.0
63,1.0,0.0,4.0,2.0,0.0,1.0,1.0
64,17.0,12.0,12.0,8.0,9.0,4.0,13.0
65,12.0,23.0,17.0,14.0,16.0,21.0,13.0
66,1.0,0.0,0.0,0.0,0.0,0.0,0.0
67,15.0,7.0,8.0,10.0,8.0,9.0,7.0
68,1.0,1.0,3.0,0.0,2.0,2.0,1.0
69,17.0,11.0,19.0,10.0,4.0,7.0,7.0
70,9.0,8.0,8.0,5.0,4.0,9.0,5.0
71,9.0,12.0,8.0,7.0,8.0,9.0,7.0
72,4.0,8.0,6.0,4.0,6.0,12.0,5.0
73,1.0,2.0,0.0,3.0,6.0,5.0,1.0
74,8.0,6.0,1.0,1.0,2.0,2.0,1.0
75,8.0,9.0,7.0,8.0,5.0,12.0,9.0
76,5.0,12.0,11.0,5.0,8.0,2.0,9.0
77,12.0,19.0,12.0,11.0,7.0,9.0,14.0
78,8.0,8.0,3.0,7.0,2.0,3.0,1.0
79,11.0,13.0,13.0,19.0,7.0,10.0,8.0
80,2.0,0.0,4.0,2.0,1.0,1.0,3.0
81,1.0,3.0,6.0,5.0,5.0,3.0,8.0
82,13.0,11.0,9.0,16.0,0.0,16.0,8.0
83,35.0,12.0,14.0,11.0,14.0,28.0,21.0
84,19.0,5.0,18.0,9.0,7.0,13.0,5.0
85,20.0,18.0,15.0,24.0,20.0,25.0,15.0
86,8.0,7.0,7.0,6.0,10.0,6.0,9.0
87,3.0,4.0,3.0,7.0,2.0,7.0,8.0
88,72.0,70.0,77.0,81.0,97.0,122.0,58.0
89,60.0,31.0,29.0,42.0,39.0,6.0,6.0
90,17.0,13.0,21.0,8.0,11.0,12.0,14.0
91,2.0,4.0,2.0,1.0,2.0,8.0,3.0
92,26.0,29.0,15.0,16.0,34.0,23.0,16.0
93,9.0,6.0,3.0,7.0,8.0,8.0,2.0
94,5.0,10.0,14.0,6.0,8.0,5.0,6.0
95,20.0,16.0,18.0,9.0,22.0,22.0,28.0
96,16.0,7.0,11.0,10.0,10.0,5.0,10.0
97,14.0,12.0,3.0,9.0,2.0,3.0,3.0
98,6.0,16.0,5.0,4.0,10.0,8.0,1.0
99,4.0,7.0,3.0,5.0,3.0,1.0,1.0
100,36.0,18.0,26.0,33.0,21.0,12.0,22.0
