shop_id,2016-10-18,2016-10-19,2016-10-20,2016-10-21,2016-10-22,2016-10-23,2016-10-24
1,244.0,177.0,207.0,230.0,202.0,243.0,216.0
2,92.1111111111,100.666666667,85.6666666667,61.0,155.0,143.0,78.0
3,59.0,71.0,88.0,103.0,127.0,125.0,47.0
4,90.0,112.0,59.0,80.0,211.0,221.0,81.0
5,201.0,210.0,221.0,187.0,161.0,240.0,454.0
6,104.0,104.0,90.0,107.0,88.0,76.0,104.0
7,101.0,94.0,113.0,132.0,152.0,200.0,124.0
8,49.0,55.0,73.0,46.0,68.0,89.0,68.0
9,180.0,213.0,226.0,208.0,220.0,310.0,246.0
10,90.0,139.0,93.0,84.0,92.0,115.0,60.0
11,114.0,96.0,77.0,73.0,53.0,58.0,89.0
12,43.0,51.0,49.0,60.0,62.0,87.0,35.0
13,225.0,223.0,236.0,248.0,228.0,256.0,285.0
14,51.0,56.0,45.0,28.0,59.0,41.0,58.0
15,107.0,123.0,127.0,145.0,168.0,226.0,121.0
16,58.0,41.0,43.0,57.0,50.0,67.0,38.0
17,82.0,81.0,84.0,86.0,147.0,114.0,81.0
18,75.0,3.0,87.6666666667,59.0,117.0,81.0,80.0
19,152.0,149.0,143.0,102.0,142.0,246.0,159.0
20,162.0,149.0,172.0,150.0,128.0,119.0,159.0
21,67.0,73.0,73.0,79.0,138.0,139.0,74.0
22,81.0,101.0,98.0,115.0,131.0,124.0,103.0
23,12.0,12.0,12.0,6.0,3.0,1.0,28.0
24,65.0,56.0,49.0,138.0,202.0,204.0,77.0
25,115.0,97.0,115.0,153.0,152.0,146.0,110.0
26,57.0,69.0,64.0,52.0,144.0,148.0,63.0
27,68.0,69.0,80.0,70.0,93.0,101.0,96.0
28,67.0,39.0,44.0,81.0,97.0,103.0,67.0
29,83.0,81.0,93.0,100.0,183.0,195.0,110.0
30,31.0,43.0,39.0,45.0,56.0,66.0,46.0
31,311.0,381.0,224.0,244.0,593.0,508.0,305.0
32,410.0,462.0,429.0,452.0,179.0,104.0,427.0
33,66.0,57.0,60.0,71.0,123.0,74.0,60.0
34,350.0,347.0,333.0,423.0,521.0,446.0,362.0
35,110.0,136.0,166.0,127.0,219.0,206.0,98.0
36,55.0,74.0,76.0,68.0,64.0,82.0,52.0
37,217.0,227.0,202.0,205.0,239.0,346.0,187.0
38,93.0,95.0,111.0,86.0,60.0,66.0,121.0
39,286.0,198.0,195.0,210.0,189.0,386.0,286.0
40,92.0,82.0,86.0,70.0,89.0,120.0,75.0
41,170.0,160.0,144.0,169.0,265.0,353.0,157.0
42,106.0,91.0,62.0,100.0,95.0,82.0,80.0
43,49.0,74.0,72.0,98.0,81.0,107.0,60.0
44,73.0,56.0,49.0,57.0,71.0,78.0,76.0
45,31.0,35.0,37.0,38.0,53.0,49.0,25.0
46,207.0,178.0,128.0,145.0,192.0,194.0,210.0
47,180.0,152.0,138.0,171.0,98.0,101.0,150.0
48,360.0,388.0,348.0,423.0,563.0,636.0,347.0
49,388.0,398.0,315.0,323.0,498.0,709.0,481.0
50,61.0,68.0,69.0,71.0,61.0,88.0,66.0
51,84.0,52.0,59.0,63.0,49.0,43.0,70.0
52,49.0,52.0,50.0,90.0,136.0,123.0,39.0
53,120.0,122.0,127.0,154.0,145.0,121.0,126.0
54,356.0,357.0,286.0,341.0,335.0,324.0,318.0
55,342.0,324.0,353.0,405.0,339.0,398.0,330.0
56,52.0,61.0,65.0,68.0,91.0,58.0,69.0
57,251.0,277.0,283.0,295.0,289.0,245.0,259.0
58,1376.0,1438.0,1629.0,1576.0,1641.0,2103.0,1743.0
59,153.0,160.0,165.0,263.0,188.0,160.0,178.0
60,168.0,167.0,172.0,180.0,161.0,134.0,154.0
61,83.0,79.0,87.0,80.0,103.0,109.0,88.0
62,79.0,77.0,56.0,74.0,93.0,81.0,79.0
63,217.0,176.0,146.0,220.0,192.0,288.0,181.0
64,155.0,139.0,110.0,101.0,119.0,103.0,159.0
65,311.0,310.0,342.0,383.0,536.0,675.0,321.0
66,71.0,51.0,72.0,95.0,86.0,97.0,69.0
67,60.0,62.0,53.0,64.0,83.0,80.0,56.0
68,44.0,41.0,58.0,60.0,76.0,56.0,63.0
69,99.0,81.0,97.0,102.0,134.0,126.0,99.0
70,47.0,56.0,49.0,66.0,81.0,77.0,52.0
71,142.0,166.0,139.0,191.0,152.0,132.0,194.0
72,306.0,476.0,548.0,519.0,657.0,632.0,511.0
73,101.0,88.0,107.0,103.0,106.0,113.0,92.0
74,93.0,106.0,107.0,117.0,116.0,131.0,117.0
75,95.0,117.0,95.0,95.0,79.0,68.0,70.0
76,35.0,43.0,10.0,7.0,92.0,51.0,65.0
77,95.0,124.0,116.0,148.0,112.0,146.0,150.0
78,63.0,52.0,52.0,40.0,35.0,48.0,56.0
79,164.0,150.0,152.0,141.0,35.0,77.0,147.0
80,46.0,70.0,71.0,58.0,63.0,78.0,63.0
81,145.0,96.0,95.0,78.0,94.0,134.0,136.0
82,100.0,107.0,107.0,107.0,90.0,74.0,111.0
83,123.0,130.0,98.0,133.0,157.0,203.0,99.0
84,162.0,178.0,174.0,152.0,189.0,286.0,153.0
85,73.0,57.0,55.0,85.0,102.0,102.0,65.0
86,123.0,111.0,117.0,137.0,156.0,181.0,122.0
87,133.0,147.0,118.0,114.0,21.0,18.0,140.0
88,405.0,474.0,347.0,529.0,587.0,622.0,407.0
89,28.0,38.0,38.0,60.0,76.0,52.0,42.0
90,213.0,178.0,162.0,173.0,226.0,373.0,193.0
91,87.0,103.0,83.0,81.0,119.0,117.0,103.0
92,112.0,106.0,106.0,150.0,203.0,193.0,108.0
93,144.0,132.0,187.0,105.0,146.0,92.0,181.0
94,96.0,91.0,112.0,60.0,94.0,70.0,88.0
95,108.0,108.0,100.0,120.0,75.0,82.0,111.0
96,91.0,97.0,110.0,114.0,138.0,168.0,122.0
97,178.0,198.0,154.0,167.0,184.0,187.0,195.0
98,73.0,59.0,83.0,63.0,87.0,76.0,82.0
99,79.0,56.0,66.0,54.0,35.0,49.0,68.0
100,424.0,359.0,366.0,438.0,330.0,263.0,367.0
101,101.0,110.0,95.0,113.0,122.0,173.0,139.0
102,124.0,138.0,139.0,119.0,118.0,144.0,144.0
103,64.0,67.0,68.0,67.0,70.0,63.0,61.0
104,115.0,99.0,98.0,131.0,93.0,70.0,89.0
105,81.0,66.0,65.0,104.0,145.0,182.0,64.0
106,57.0,48.0,64.0,58.0,84.0,65.0,70.0
107,57.0,51.0,60.0,92.0,158.0,174.0,71.0
108,85.0,67.0,84.0,81.0,131.0,139.0,93.0
109,111.0,124.0,129.0,122.0,100.0,98.0,123.0
110,166.0,154.0,153.0,133.0,142.0,121.0,138.0
111,56.0,58.0,66.0,69.0,110.0,76.0,68.0
112,101.0,86.0,164.0,140.0,175.0,144.0,117.0
113,155.0,165.0,142.0,150.0,84.0,115.0,105.0
114,603.0,603.0,559.0,626.0,381.0,570.0,585.0
115,438.0,473.0,449.0,450.0,361.0,451.0,519.0
116,412.0,446.0,507.0,379.0,388.0,404.0,567.0
117,116.0,117.0,137.0,156.0,243.0,251.0,104.0
118,73.0,70.0,74.0,66.0,26.0,28.0,83.0
119,37.0,45.0,35.0,63.0,88.0,93.0,36.0
120,223.0,248.0,254.0,240.0,297.0,420.0,279.0
121,54.0,47.0,50.0,48.0,56.0,59.0,41.0
122,60.0,42.0,61.0,68.0,67.0,77.0,50.0
123,102.0,108.0,80.0,73.0,127.0,110.0,98.0
124,278.0,376.0,397.0,356.0,375.0,587.0,395.0
125,47.0,43.0,28.0,40.0,51.0,43.0,48.0
126,124.0,115.0,112.0,95.0,100.0,94.0,112.0
127,113.0,55.0,50.0,54.0,119.0,97.0,57.0
128,31.0,58.0,40.0,58.0,103.0,94.0,32.0
129,172.0,160.0,188.0,228.0,259.0,279.0,158.0
130,322.0,340.0,232.0,256.0,358.0,310.0,345.0
131,76.0,71.0,54.0,74.0,95.0,53.0,78.0
132,57.0,54.0,64.0,75.0,82.0,64.0,34.0
133,113.0,103.0,101.0,96.0,71.0,69.0,103.0
134,425.0,450.0,364.0,386.0,346.0,383.0,448.0
135,158.0,129.0,135.0,116.0,120.0,208.0,183.0
136,115.0,95.0,84.0,103.0,99.0,82.0,109.0
137,79.0,81.0,85.0,94.0,74.0,56.0,88.0
138,280.0,276.0,238.0,239.0,140.0,208.0,260.0
139,54.0,49.0,65.0,77.0,154.0,123.0,41.0
140,387.0,429.0,325.0,351.0,184.0,166.0,332.0
141,45.0,49.0,29.0,29.0,65.0,82.0,45.0
142,459.0,410.0,408.0,451.0,197.0,186.0,462.0
143,123.0,124.0,130.0,134.0,103.0,91.0,106.0
144,95.0,114.0,72.0,79.0,133.0,211.0,107.0
145,55.0,64.0,50.0,73.0,75.0,70.0,67.0
146,454.0,464.0,449.0,546.0,757.0,756.0,489.0
147,127.0,131.0,121.0,126.0,103.0,124.0,141.0
148,80.0,65.0,58.0,98.0,93.0,79.0,63.0
149,129.0,168.0,155.0,177.0,269.0,215.0,168.0
150,36.0,80.0,63.0,43.0,118.0,88.0,61.0
151,167.0,92.0,97.0,94.0,71.0,60.0,85.0
152,48.0,45.0,40.0,60.0,71.0,69.0,45.0
153,52.0,50.0,64.0,79.0,103.0,78.0,71.0
154,84.0,99.0,99.0,115.0,68.0,73.0,109.0
155,101.0,111.0,116.0,136.0,154.0,159.0,125.0
156,115.0,157.0,169.0,36.0,238.0,167.0,140.0
157,85.0,104.0,68.0,104.0,145.0,128.0,94.0
158,56.0,73.0,33.0,82.0,58.0,59.0,69.0
159,46.0,57.0,48.0,60.0,85.0,82.0,57.0
160,326.0,325.0,318.0,275.0,83.0,103.0,306.0
161,133.0,130.0,88.0,173.0,123.0,136.0,142.0
162,64.0,60.0,75.0,85.0,85.0,64.0,83.0
163,79.0,75.0,80.0,86.0,96.0,143.0,76.0
164,178.0,212.0,236.0,218.0,139.0,126.0,192.0
165,105.0,108.0,48.0,110.0,115.0,139.0,109.0
166,41.0,47.0,45.0,69.0,169.0,117.0,38.0
167,130.0,148.0,165.0,135.0,111.0,136.0,182.0
168,123.0,116.0,113.0,97.0,91.0,98.0,116.0
169,83.0,98.0,105.0,124.0,180.0,189.0,95.0
170,47.0,46.0,38.0,56.0,75.0,92.0,36.0
171,237.0,254.0,232.0,273.0,211.0,246.0,258.0
172,164.0,146.0,137.0,127.0,313.0,311.0,141.0
173,161.0,175.0,135.0,152.0,174.0,249.0,170.0
174,188.0,199.0,143.0,204.0,151.0,238.0,242.0
175,91.0,65.0,80.0,116.0,195.0,174.0,79.0
176,71.0,62.0,69.0,70.0,142.0,127.0,71.0
177,103.0,112.0,96.0,142.0,129.0,167.0,94.0
178,90.0,60.0,66.0,77.0,86.0,124.0,99.0
179,63.0,62.0,64.0,69.0,71.0,76.0,55.0
180,235.0,181.0,252.0,250.0,239.0,479.0,266.0
181,63.0,73.0,73.0,73.0,105.0,82.0,76.0
182,42.0,59.0,33.0,35.0,69.0,66.0,40.0
183,197.0,178.0,227.0,230.0,118.0,124.0,168.0
184,88.0,85.0,88.0,70.0,96.0,87.0,72.0
185,88.0,105.0,106.0,84.0,133.0,110.0,123.0
186,135.0,153.0,103.0,148.0,196.0,249.0,117.0
187,65.0,75.0,93.0,64.0,81.0,64.0,82.0
188,100.0,83.0,62.0,72.0,76.0,134.0,95.0
189,416.0,396.0,400.0,466.0,581.0,811.0,476.0
190,61.0,71.0,81.0,1.0,79.0,52.0,45.0
191,59.3333333333,34.0,76.0,41.0,53.0,54.0,73.0
192,31.0,30.0,56.0,32.0,75.0,88.0,22.0
193,108.0,124.0,132.0,142.0,184.0,177.0,98.0
194,50.0,43.0,37.0,33.0,27.0,23.0,53.0
195,51.0,38.0,55.0,58.0,96.0,114.0,55.0
196,31.0,36.0,44.0,24.0,119.0,133.0,58.0
197,32.0,38.0,37.0,55.0,82.0,83.0,42.0
198,143.0,147.0,109.0,127.0,75.0,65.0,119.0
199,161.0,135.0,137.0,164.0,149.0,253.0,194.0
200,186.0,127.0,179.0,171.0,214.0,345.0,196.0
201,27.0,34.0,22.0,71.0,62.0,100.0,44.0
202,195.0,201.0,230.0,162.0,135.0,170.0,166.0
203,354.0,356.0,363.0,355.0,666.0,767.0,390.0
204,85.0,89.0,114.0,97.0,110.0,64.0,89.0
205,84.0,93.0,111.0,123.0,100.0,112.0,100.0
206,56.0,53.0,52.0,63.0,96.0,92.0,43.0
207,56.0,65.0,66.0,77.0,193.0,193.0,47.0
208,91.0,92.0,111.0,108.0,207.0,196.0,116.0
209,66.0,60.0,34.0,58.0,48.0,114.0,79.0
210,73.0,66.0,91.0,153.0,135.0,143.0,94.0
211,81.0,93.0,85.0,106.0,127.0,133.0,92.0
212,41.0,44.0,50.0,62.0,96.0,94.0,37.0
213,74.0,77.0,74.0,62.0,50.0,64.0,95.0
214,33.0,39.0,33.0,34.0,83.0,84.0,39.0
215,124.0,130.0,121.0,159.0,333.0,308.0,111.0
216,42.0,48.0,42.0,42.0,51.0,37.0,46.0
217,369.0,353.0,353.0,465.0,588.0,584.0,337.0
218,47.0,51.0,51.0,40.0,20.0,11.0,74.0
219,39.0,69.0,34.0,64.0,50.0,69.0,54.0
220,114.0,100.0,94.0,107.0,61.0,53.0,90.0
221,85.0,112.0,114.0,148.0,153.0,161.0,91.0
222,22.0,32.0,22.0,34.0,32.0,25.0,30.0
223,67.0,87.0,72.0,92.0,125.0,88.0,73.0
224,72.0,80.0,87.0,77.0,19.0,20.0,96.0
225,84.0,89.0,90.0,91.0,64.0,77.0,86.0
226,182.0,175.0,205.0,181.0,165.0,199.0,196.0
227,40.0,26.0,46.0,61.0,104.0,104.0,60.0
228,57.0,56.0,42.0,55.0,61.0,83.0,78.0
229,53.0,58.0,81.0,81.0,115.0,93.0,83.0
230,79.0,68.0,56.0,57.0,75.0,86.0,77.0
231,70.0,85.0,55.0,71.0,67.0,76.0,65.0
232,75.0,56.0,61.0,62.0,76.0,75.0,58.0
233,235.0,254.0,229.0,394.0,619.0,656.0,228.0
234,157.0,129.0,144.0,175.0,165.0,186.0,143.0
235,128.0,108.0,117.0,147.0,179.0,190.0,131.0
236,52.0,47.0,28.0,41.0,42.0,51.0,49.0
237,47.0,46.0,55.0,53.0,58.0,77.0,66.0
238,75.0,69.0,68.0,60.0,64.0,61.0,75.0
239,72.0,80.0,80.0,104.0,115.0,125.0,78.0
240,302.0,310.0,306.0,338.0,235.0,254.0,290.0
241,101.0,73.0,81.0,79.0,123.0,115.0,97.0
242,89.0,55.0,97.0,75.0,51.0,66.0,80.0
243,218.0,202.0,195.0,272.0,404.0,361.0,202.0
244,123.0,158.0,259.0,162.0,190.0,219.0,204.0
245,105.0,139.0,172.0,156.0,165.0,173.0,146.0
246,22.0,23.0,24.0,20.0,77.0,108.0,26.0
247,150.0,212.0,144.0,164.0,168.0,161.0,183.0
248,78.0,57.0,62.0,49.0,47.0,66.0,62.0
249,166.0,145.0,176.0,131.0,63.0,53.0,173.0
250,50.0,52.0,63.0,59.0,97.0,85.0,51.0
251,107.0,121.0,89.0,117.0,55.0,34.0,110.0
252,110.0,101.0,180.0,88.0,204.0,202.0,179.0
253,60.0,69.0,70.0,82.0,136.0,130.0,64.0
254,97.0,153.0,171.0,108.0,86.0,126.0,100.0
255,90.0,82.0,96.0,91.0,64.0,66.0,72.0
256,177.0,175.0,199.0,225.0,264.0,290.0,196.0
257,84.0,91.0,74.0,86.0,70.0,85.0,96.0
258,50.0,57.0,58.0,98.0,91.0,66.0,46.0
259,73.0,57.0,68.0,61.0,60.0,83.0,82.0
260,47.0,81.0,50.0,77.0,77.0,76.0,58.0
261,84.0,79.0,101.0,133.0,188.0,160.0,76.0
262,108.0,132.0,114.0,139.0,107.0,133.0,121.0
263,88.0,126.0,90.0,98.0,102.0,121.0,101.0
264,81.0,73.0,112.0,94.0,102.0,144.0,138.0
265,95.0,105.0,95.0,115.0,152.0,156.0,114.0
266,43.0,54.0,41.0,54.0,54.0,56.0,35.0
267,81.0,112.0,104.0,99.0,102.0,106.0,93.0
268,75.0,79.0,143.0,50.0,85.0,57.0,103.0
269,121.0,102.0,78.0,72.0,70.0,84.0,126.0
270,89.0,83.0,78.0,75.0,122.0,98.0,101.0
271,62.0,70.0,61.0,52.0,67.0,52.0,49.0
272,533.0,574.0,569.0,487.0,422.0,449.0,575.0
273,104.0,130.0,110.0,131.0,138.0,145.0,100.0
274,69.0,55.0,66.0,18.0,49.0,39.0,68.0
275,496.0,539.0,711.0,583.0,603.0,558.0,618.0
276,126.0,116.0,103.0,113.0,111.0,208.0,143.0
277,27.0,36.0,32.0,44.0,83.0,84.0,30.0
278,201.0,249.0,293.0,270.0,418.0,405.0,260.0
279,411.0,415.0,464.0,424.0,696.0,592.0,445.0
280,60.0,65.0,56.0,71.0,101.0,102.0,62.0
281,158.0,146.0,155.0,177.0,175.0,229.0,153.0
282,294.0,257.0,259.0,259.0,138.0,123.0,295.0
283,43.0,66.0,47.0,68.0,106.0,85.0,62.0
