shop_id,2016-10-18,2016-10-19,2016-10-20,2016-10-21,2016-10-22,2016-10-23,2016-10-24
1,23.0,29.0,24.0,20.0,27.0,25.0,19.0
2,26.0,32.0,23.0,25.0,28.0,25.0,9.0
3,5.0,3.0,5.0,5.0,13.0,2.0,4.0
4,19.0,19.0,13.0,24.0,40.0,29.0,15.0
5,6.0,2.0,5.0,11.0,6.0,5.0,17.0
6,12.0,5.0,9.0,8.0,9.0,10.0,7.0
7,23.0,18.0,16.0,14.0,15.0,20.0,10.0
8,8.0,9.0,1.0,3.0,2.0,2.0,1.0
9,10.0,6.0,4.0,7.0,11.0,4.0,2.0
10,1.0,2.0,0.0,3.0,3.0,1.0,1.0
11,3.0,1.0,2.0,0.0,3.0,7.0,5.0
12,21.0,10.0,7.0,15.0,14.0,24.0,11.0
13,7.0,6.0,9.0,6.0,5.0,3.0,2.0
14,18.0,21.0,8.0,10.0,16.0,18.0,13.0
15,0.0,1.0,0.0,1.0,0.0,3.0,2.0
16,17.0,25.0,23.0,13.0,24.0,22.0,18.0
17,27.0,37.0,30.0,40.0,22.0,44.0,33.0
18,12.0,2.0,8.0,11.0,12.0,10.0,7.0
19,3.0,5.0,10.0,4.0,7.0,7.0,6.0
20,10.0,11.0,2.0,10.0,5.0,4.0,2.0
21,4.0,1.0,2.0,5.0,4.0,3.0,3.0
22,42.0,36.0,37.0,34.0,26.0,36.0,38.0
23,0.0,1.0,0.0,3.0,0.0,0.0,5.0
24,12.0,12.0,18.0,27.0,31.0,33.0,18.0
25,14.0,12.0,18.0,10.0,24.0,14.0,13.0
26,4.0,7.0,7.0,5.0,12.0,10.0,4.0
27,5.0,5.0,5.0,6.0,4.0,7.0,10.0
28,29.0,20.0,17.0,21.0,21.0,25.0,32.0
29,2.0,1.0,2.0,9.0,0.0,4.0,2.0
30,33.0,39.0,42.0,29.0,35.0,48.0,37.0
31,11.0,7.0,8.0,3.0,3.0,3.0,3.0
32,1.0,2.0,3.0,1.0,1.0,0.0,0.0
33,18.0,15.0,20.0,14.0,20.0,6.0,8.0
34,11.0,9.0,22.0,14.0,23.0,15.0,9.0
35,6.0,9.0,8.0,8.0,18.0,16.0,19.0
36,2.0,2.0,1.0,4.0,4.0,10.0,7.0
37,15.0,13.0,16.0,13.0,23.0,14.0,12.0
38,0.0,2.0,0.0,1.0,1.0,6.0,0.0
39,11.0,17.0,26.0,19.0,14.0,22.0,13.0
40,0.0,3.0,0.0,1.0,0.0,1.0,0.0
41,10.0,27.0,15.0,16.0,34.0,26.0,18.0
42,5.0,3.0,6.0,3.0,5.0,4.0,2.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,178.0,166.0,201.0,215.0,252.0,245.0,177.0
45,1.0,1.0,5.0,1.0,4.0,5.0,4.0
46,5.0,3.0,4.0,8.0,3.0,3.0,1.0
47,0.0,1.0,0.0,1.0,0.0,1.0,0.0
48,4.0,3.0,4.0,6.0,4.0,5.0,2.0
49,32.0,36.0,30.0,26.0,31.0,23.0,20.0
50,18.0,18.0,17.0,14.0,17.0,9.0,9.0
51,9.0,4.0,7.0,11.0,10.0,1.0,7.0
52,5.0,2.0,3.0,10.0,6.0,5.0,11.0
53,1.0,1.0,0.0,0.0,0.0,0.0,1.0
54,13.0,6.0,10.0,10.0,15.0,20.0,11.0
55,18.0,23.0,16.0,18.0,30.0,28.0,15.0
56,12.0,15.0,18.0,11.0,19.0,13.0,11.0
57,7.0,15.0,7.0,17.0,15.0,8.0,8.0
58,18.0,30.0,38.0,12.0,41.0,19.0,14.0
59,0.0,0.0,3.0,4.0,4.0,1.0,0.0
60,21.0,28.0,12.0,22.0,16.0,13.0,17.0
61,2.0,3.0,4.0,4.0,1.0,2.0,1.0
62,20.0,22.0,24.0,20.0,29.0,18.0,24.0
63,0.0,3.0,0.0,2.0,7.0,4.0,1.0
64,10.0,14.0,11.0,9.0,5.0,6.0,7.0
65,13.0,20.0,14.0,13.0,22.0,18.0,6.0
66,0.0,0.0,2.0,0.0,1.0,0.0,1.0
67,8.0,6.0,5.0,7.0,4.0,6.0,8.0
68,3.0,1.0,0.0,2.0,3.0,1.0,1.0
69,4.0,8.0,12.0,14.0,7.0,10.0,10.0
70,8.0,5.0,5.0,8.0,8.0,7.0,9.0
71,5.0,8.0,8.0,6.0,7.0,5.0,44.0
72,8.0,15.0,4.0,4.0,9.0,12.0,10.0
73,4.0,2.0,5.0,1.0,6.0,6.0,4.0
74,1.0,3.0,0.0,2.0,4.0,2.0,1.0
75,7.0,5.0,10.0,5.0,4.0,9.0,8.0
76,10.0,5.0,3.0,1.0,5.0,4.0,5.0
77,10.0,9.0,7.0,11.0,9.0,3.0,7.0
78,3.0,2.0,3.0,3.0,4.0,2.0,5.0
79,9.0,6.0,12.0,8.0,8.0,6.0,7.0
80,3.0,3.0,0.0,1.0,1.0,1.0,10.0
81,5.0,3.0,5.0,4.0,5.0,1.0,1.0
82,11.0,11.0,6.0,6.0,7.0,10.0,10.0
83,13.0,34.0,15.0,19.0,15.0,17.0,15.0
84,12.0,18.0,8.0,11.0,8.0,12.0,9.0
85,8.0,21.0,10.0,14.0,20.0,12.0,7.0
86,5.0,4.0,9.0,14.0,9.0,5.0,6.0
87,4.0,4.0,6.0,7.0,7.0,3.0,4.0
88,82.0,78.0,66.0,120.0,88.0,95.0,64.0
89,10.0,8.0,3.0,5.0,5.0,4.0,19.0
90,6.0,10.0,11.0,12.0,12.0,10.0,11.0
91,2.0,4.0,1.0,3.0,5.0,1.0,3.0
92,23.0,26.0,25.0,22.0,20.0,8.0,3.0
93,6.0,3.0,4.0,3.0,2.0,2.0,4.0
94,8.0,7.0,3.0,1.0,5.0,6.0,1.0
95,15.0,23.0,26.0,36.0,29.0,18.0,25.0
96,6.0,8.0,5.0,7.0,8.0,6.0,4.0
97,2.0,9.0,5.0,7.0,2.0,6.0,8.0
98,5.0,3.0,8.0,2.0,9.0,3.0,6.0
99,10.0,6.0,5.0,7.0,5.0,7.0,11.0
100,13.0,24.0,5.0,19.0,17.0,17.0,18.0
101,21.0,20.0,29.0,28.0,25.0,17.0,20.0
102,2.0,4.0,1.0,1.0,6.0,0.0,3.0
103,3.0,3.0,1.0,2.0,0.0,2.0,2.0
104,9.0,8.0,13.0,14.0,18.0,16.0,12.0
105,20.0,10.0,11.0,12.0,23.0,29.0,16.0
106,1.0,0.0,1.0,1.0,0.0,0.0,3.0
107,4.0,0.0,5.0,4.0,6.0,7.0,0.0
108,7.0,0.0,4.0,7.0,11.0,3.0,8.0
109,0.0,2.0,0.0,0.0,2.0,0.0,1.0
110,2.0,0.0,0.0,1.0,1.0,0.0,0.0
111,8.0,4.0,1.0,5.0,1.0,1.0,4.0
112,2.0,1.0,6.0,3.0,13.0,1.0,3.0
113,2.0,0.0,1.0,1.0,1.0,0.0,1.0
114,42.0,31.0,32.0,40.0,24.0,20.0,41.0
115,13.0,14.0,21.0,5.0,12.0,12.0,13.0
116,1.0,1.0,0.0,0.0,2.0,1.0,6.0
117,40.0,50.0,43.0,57.0,58.0,72.0,44.0
118,1.0,0.0,0.0,1.0,1.0,0.0,0.0
119,15.0,14.0,14.0,35.0,24.0,22.0,18.0
120,3.0,2.0,7.0,0.0,2.0,3.0,1.0
121,30.0,29.0,70.0,62.0,59.0,54.0,85.0
122,0.0,1.0,4.0,2.0,1.0,2.0,0.0
123,4.0,4.0,2.0,6.0,3.0,2.0,6.0
124,2.0,3.0,7.0,14.0,7.0,6.0,4.0
125,7.0,3.0,5.0,4.0,3.0,3.0,1.0
126,11.0,4.0,4.0,7.0,5.0,11.0,8.0
127,8.0,12.0,10.0,6.0,14.0,21.0,12.0
128,36.0,48.0,44.0,53.0,61.0,56.0,45.0
129,9.0,19.0,12.0,11.0,14.0,14.0,2.0
130,14.0,19.0,11.0,20.0,19.0,13.0,7.0
131,1.0,2.0,8.0,4.0,7.0,1.0,2.0
132,10.0,10.0,22.0,15.0,14.0,20.0,10.0
133,6.0,10.0,9.0,1.0,4.0,7.0,7.0
134,8.0,8.0,11.0,13.0,14.0,11.0,9.0
135,10.0,3.0,2.0,5.0,5.0,11.0,2.0
136,27.0,34.0,32.0,31.0,23.0,15.0,21.0
137,6.0,6.0,5.0,4.0,5.0,6.0,4.0
138,64.0,100.0,84.0,98.0,100.0,72.0,45.0
139,9.0,22.0,15.0,8.0,23.0,15.0,7.0
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,1.0,1.0,5.0,2.0,3.0,2.0,1.0
142,2.0,5.0,2.0,1.0,1.0,0.0,0.0
143,10.0,2.0,8.0,8.0,8.0,6.0,7.0
144,2.0,4.0,2.0,5.0,2.0,3.0,3.0
145,6.0,8.0,20.0,8.0,15.0,13.0,9.0
146,18.0,15.0,23.0,15.0,18.0,17.0,24.0
147,1.0,0.0,2.0,2.0,0.0,2.0,3.0
148,0.0,2.0,0.0,0.0,1.0,1.0,0.0
149,63.0,54.0,43.0,56.0,54.0,62.0,63.0
150,1.0,2.0,2.0,3.0,4.0,4.0,7.0
151,16.0,4.0,7.0,15.0,10.0,3.0,1.0
152,23.0,23.0,14.0,24.0,15.0,25.0,10.0
153,18.0,19.0,18.0,25.0,20.0,5.0,7.0
154,1.0,3.0,5.0,3.0,4.0,4.0,1.0
155,39.0,34.0,41.0,24.0,51.0,29.0,35.0
156,5.0,4.0,4.0,11.0,7.0,7.0,4.0
157,16.0,12.0,8.0,9.0,14.0,14.0,5.0
158,4.0,2.0,0.0,3.0,4.0,1.0,2.0
159,30.0,17.0,12.0,18.0,22.0,26.0,19.0
160,0.0,0.0,0.0,6.0,0.0,0.0,1.0
161,10.0,7.0,14.0,12.0,13.0,9.0,12.0
162,0.0,2.0,2.0,3.0,1.0,1.0,2.0
163,1.0,0.0,4.0,1.0,3.0,3.0,6.0
164,2.0,3.0,2.0,3.0,1.0,7.0,2.0
165,2.0,8.0,11.0,4.0,12.0,5.0,3.0
166,2.0,2.0,15.0,14.0,3.0,4.0,7.0
167,19.0,20.0,12.0,14.0,8.0,11.0,9.0
168,0.0,2.0,2.0,0.0,2.0,0.0,4.0
169,51.0,46.0,56.0,48.0,59.0,54.0,32.0
170,12.0,6.0,19.0,7.0,18.0,10.0,11.0
171,8.0,12.0,20.0,17.0,11.0,9.0,12.0
172,11.0,6.0,13.0,7.0,9.0,8.0,7.0
173,5.0,7.0,2.0,1.0,6.0,3.0,5.0
174,5.0,1.0,4.0,4.0,2.0,4.0,3.0
175,3.0,2.0,2.0,6.0,4.0,1.0,2.0
176,4.0,3.0,6.0,11.0,8.0,4.0,7.0
177,14.0,6.0,11.0,6.0,27.0,6.0,7.0
178,0.0,0.0,0.0,0.0,1.0,0.0,0.0
179,30.0,21.0,45.0,26.0,31.0,39.0,22.0
180,4.0,5.0,5.0,7.0,8.0,7.0,6.0
181,35.0,35.0,47.0,20.0,51.0,63.0,26.0
182,11.0,13.0,24.0,15.0,17.0,26.0,16.0
183,13.0,11.0,12.0,18.0,19.0,7.0,17.0
184,31.0,17.0,14.0,19.0,23.0,24.0,9.0
185,3.0,3.0,5.0,3.0,7.0,4.0,6.0
186,22.0,18.0,17.0,18.0,26.0,24.0,14.0
187,25.0,33.0,33.0,21.0,16.0,15.0,12.0
188,6.0,9.0,8.0,7.0,5.0,10.0,10.0
189,14.0,13.0,22.0,16.0,21.0,22.0,23.0
190,13.0,6.0,8.0,8.0,7.0,12.0,6.0
191,12.0,38.0,12.0,5.0,8.0,7.0,11.0
192,19.0,18.0,17.0,22.0,15.0,28.0,21.0
193,17.0,23.0,14.0,7.0,12.0,9.0,19.0
194,1.0,1.0,2.0,1.0,1.0,1.0,0.0
195,149.0,150.0,186.0,193.0,234.0,290.0,158.0
196,5.0,11.0,2.0,7.0,2.0,11.0,7.0
197,2.0,2.0,2.0,3.0,12.0,3.0,6.0
198,5.0,1.0,5.0,1.0,11.0,5.0,1.0
199,4.0,2.0,3.0,4.0,6.0,2.0,6.0
200,20.0,20.0,12.0,7.0,15.0,23.0,9.0
201,0.0,2.0,0.0,1.0,1.0,1.0,0.0
202,7.0,1.0,4.0,3.0,4.0,2.0,3.0
203,13.0,10.0,11.0,16.0,11.0,13.0,12.0
204,53.0,53.0,69.0,42.0,41.0,30.0,36.0
205,10.0,13.0,7.0,8.0,10.0,5.0,6.0
206,19.0,30.0,32.0,38.0,34.0,30.0,39.0
207,7.0,11.0,11.0,17.0,15.0,20.0,11.0
208,0.0,2.0,3.0,0.0,2.0,5.0,1.0
209,8.0,6.0,7.0,4.0,4.0,7.0,7.0
210,22.0,30.0,38.0,36.0,39.0,43.0,27.0
211,20.0,24.0,24.0,58.0,18.0,22.0,17.0
212,29.0,26.0,27.0,28.0,37.0,33.0,25.0
213,5.0,5.0,4.0,4.0,5.0,1.0,1.0
214,22.0,20.0,17.0,13.0,18.0,22.0,14.0
215,5.0,9.0,2.0,5.0,14.0,7.0,4.0
216,5.0,4.0,6.0,3.0,10.0,6.0,5.0
217,65.0,63.0,74.0,105.0,72.0,67.0,40.0
218,1.0,1.0,1.0,0.0,1.0,3.0,0.0
219,0.0,0.0,4.0,3.0,1.0,0.0,0.0
220,75.0,80.0,68.0,29.0,23.0,9.0,42.0
221,9.0,15.0,18.0,15.0,8.0,7.0,8.0
222,7.0,8.0,8.0,13.0,7.0,6.0,7.0
223,12.0,12.0,19.0,30.0,21.0,25.0,11.0
224,2.0,1.0,2.0,2.0,2.0,1.0,3.0
225,3.0,4.0,3.0,2.0,2.0,3.0,3.0
226,9.0,7.0,4.0,6.0,11.0,13.0,7.0
227,15.0,8.0,6.0,7.0,8.0,10.0,4.0
228,1.0,1.0,2.0,1.0,3.0,0.0,1.0
229,41.0,31.0,30.0,30.0,26.0,19.0,21.0
230,3.0,1.0,0.0,1.0,1.0,0.0,0.0
231,4.0,5.0,7.0,3.0,7.0,8.0,5.0
232,2.0,1.0,2.0,1.0,0.0,2.0,3.0
233,7.0,7.0,14.0,20.0,12.0,10.0,8.0
234,16.0,13.0,17.0,15.0,14.0,15.0,12.0
235,11.0,18.0,20.0,15.0,12.0,11.0,14.0
236,42.0,64.0,34.0,44.0,29.0,36.0,42.0
237,9.0,2.0,6.0,4.0,6.0,12.0,17.0
238,18.0,21.0,15.0,10.0,21.0,16.0,10.0
239,38.0,72.0,67.0,55.0,57.0,69.0,66.0
240,19.0,31.0,23.0,18.0,13.0,14.0,20.0
241,10.0,11.0,4.0,1.0,12.0,5.0,6.0
242,14.0,5.0,9.0,2.0,8.0,4.0,9.0
243,33.0,39.0,29.0,38.0,55.0,45.0,48.0
244,10.0,18.0,16.0,17.0,13.0,10.0,7.0
245,9.0,4.0,3.0,3.0,6.0,4.0,4.0
246,2.0,1.0,1.0,0.0,1.0,1.0,0.0
247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,4.0,3.0,3.0,2.0,3.0,7.0,2.0
249,6.0,7.0,6.0,4.0,3.0,5.0,5.0
250,14.0,20.0,20.0,22.0,26.0,26.0,24.0
251,3.0,0.0,5.0,5.0,2.0,4.0,2.0
252,39.0,44.0,33.0,60.0,47.0,65.0,31.0
253,55.0,49.0,70.0,71.0,80.0,74.0,34.0
254,6.0,4.0,5.0,3.0,4.0,6.0,4.0
255,8.0,1.0,3.0,11.0,8.0,7.0,5.0
256,45.0,50.0,60.0,59.0,70.0,32.0,39.0
257,0.0,1.0,0.0,1.0,1.0,3.0,0.0
258,20.0,26.0,21.0,29.0,25.0,40.0,13.0
259,7.0,6.0,9.0,6.0,4.0,6.0,5.0
260,18.0,13.0,8.0,12.0,15.0,20.0,11.0
261,16.0,22.0,11.0,22.0,34.0,33.0,14.0
262,30.0,16.0,17.0,20.0,22.0,29.0,17.0
263,2.0,3.0,0.0,2.0,1.0,1.0,2.0
264,4.0,4.0,3.0,2.0,2.0,5.0,3.0
265,51.0,52.0,42.0,75.0,54.0,73.0,73.0
266,6.0,9.0,5.0,10.0,11.0,4.0,4.0
267,10.0,13.0,8.0,9.0,8.0,11.0,3.0
268,1.0,2.0,0.0,1.0,5.0,3.0,0.0
269,7.0,14.0,12.0,7.0,11.0,11.0,8.0
270,6.0,15.0,9.0,9.0,2.0,5.0,3.0
271,3.0,4.0,9.0,2.0,2.0,3.0,5.0
272,9.0,18.0,14.0,14.0,22.0,7.0,14.0
273,15.0,12.0,13.0,12.0,9.0,15.0,12.0
274,20.0,24.0,10.0,14.0,11.0,16.0,15.0
275,8.0,7.0,4.0,9.0,7.0,9.0,6.0
276,5.0,9.0,7.0,9.0,10.0,5.0,6.0
277,15.0,15.0,24.0,25.0,14.0,22.0,25.0
278,44.0,44.0,43.0,40.0,62.0,59.0,49.0
279,31.0,32.0,20.0,30.0,20.0,36.0,29.0
280,1.0,4.0,5.0,11.0,6.0,4.0,4.0
281,26.0,16.0,20.0,19.0,35.0,26.0,19.0
282,0.0,2.0,5.0,2.0,0.0,1.0,1.0
283,126.0,129.0,133.0,142.0,141.0,118.0,144.0
284,0.0,0.0,0.0,1.0,1.0,0.0,1.0
285,13.0,17.0,18.0,19.0,5.0,10.0,14.0
286,4.0,2.0,6.0,1.0,2.0,1.0,4.0
287,32.0,48.0,42.0,41.0,54.0,37.0,28.0
288,4.0,2.0,6.0,1.0,10.0,6.0,0.0
289,0.0,6.0,3.0,3.0,4.0,5.0,4.0
290,1.0,0.0,1.0,0.0,3.0,0.0,2.0
291,6.0,4.0,4.0,5.0,2.0,2.0,1.0
292,2.0,1.0,2.0,3.0,1.0,1.0,4.0
293,10.0,11.0,5.0,8.0,13.0,6.0,6.0
294,9.0,2.0,13.0,16.0,8.0,2.0,2.0
295,14.0,5.0,6.0,6.0,4.0,5.0,7.0
296,29.0,26.0,36.0,35.0,41.0,33.0,36.0
297,19.0,12.0,13.0,14.0,13.0,16.0,14.0
