shop_id,2016-10-25,2016-10-26,2016-10-27,2016-10-28,2016-10-29,2016-10-30,2016-10-31
1,21.0,23.0,24.0,21.0,32.0,40.0,14.0
2,12.0,10.0,16.0,11.0,29.0,41.0,28.0
3,6.0,3.0,4.0,2.0,7.0,8.0,3.0
4,13.0,14.0,14.0,12.0,31.0,21.0,20.0
5,13.0,13.0,8.0,3.0,5.0,5.0,5.0
6,4.0,5.0,7.0,4.0,6.0,13.0,6.0
7,10.0,13.0,21.0,34.0,21.0,33.0,10.0
8,5.0,2.0,3.0,6.0,1.0,3.0,3.0
9,2.0,2.0,2.0,6.0,3.0,11.0,3.0
10,1.0,1.0,1.0,3.0,2.0,0.0,2.0
11,5.0,4.0,5.0,1.0,3.0,4.0,4.0
12,10.0,8.0,29.0,22.0,21.0,16.0,11.0
13,0.0,1.0,5.0,1.0,6.0,0.0,10.0
14,8.0,9.0,11.0,11.0,8.0,14.0,9.0
15,0.0,0.0,1.0,0.0,1.0,8.0,0.0
16,12.0,12.0,12.0,18.0,24.0,24.0,23.0
17,28.0,36.0,21.0,17.0,33.0,31.0,19.0
18,5.0,6.0,11.0,4.0,12.0,6.0,7.0
19,7.0,1.0,3.0,3.0,3.0,7.0,1.0
20,7.0,4.0,8.0,7.0,9.0,7.0,2.0
21,2.0,3.0,4.0,5.0,4.0,9.0,0.0
22,38.0,43.0,30.0,43.0,40.0,38.0,38.0
23,1.0,0.0,1.0,0.0,0.0,0.0,3.0
24,15.0,31.0,59.0,21.0,14.0,26.0,12.0
25,13.0,24.0,13.0,24.0,32.0,37.0,16.0
26,6.0,4.0,5.0,7.0,8.0,8.0,17.0
27,5.0,8.0,9.0,5.0,7.0,7.0,11.0
28,13.0,14.0,17.0,25.0,23.0,41.0,26.0
29,7.0,0.0,3.0,3.0,4.0,5.0,4.0
30,28.0,39.0,38.0,41.0,39.0,47.0,42.0
31,3.0,1.0,6.0,2.0,5.0,15.0,5.0
32,1.0,1.0,3.0,2.0,0.0,3.0,1.0
33,9.0,9.0,13.0,11.0,18.0,13.0,14.0
34,18.0,19.0,11.0,9.0,18.0,24.0,11.0
35,31.0,14.0,24.0,13.0,19.0,22.0,20.0
36,3.0,5.0,3.0,4.0,8.0,3.0,5.0
37,6.0,18.0,9.0,16.0,24.0,16.0,24.0
38,0.0,2.0,0.0,1.0,0.0,0.0,1.0
39,12.0,15.0,10.0,11.0,8.0,24.0,8.0
40,2.0,1.0,2.0,0.0,1.0,0.0,0.0
41,10.0,27.0,15.0,14.0,19.0,21.0,34.0
42,0.0,1.0,7.0,6.0,1.0,3.0,0.0
43,0.0,14.0,20.0,31.0,37.0,38.0,30.0
44,174.0,144.0,184.0,230.0,305.0,263.0,209.0
45,4.0,4.0,0.0,4.0,3.0,4.0,3.0
46,3.0,2.0,5.0,0.0,3.0,3.0,0.0
47,0.0,0.0,0.0,2.0,0.0,4.0,1.0
48,4.0,5.0,5.0,5.0,7.0,6.0,4.0
49,15.0,22.0,17.0,37.0,36.0,34.0,46.0
50,10.0,7.0,11.0,4.0,7.0,9.0,10.0
51,6.0,5.0,8.0,10.0,7.0,5.0,14.0
52,10.0,3.0,6.0,10.0,10.0,10.0,7.0
53,1.0,0.0,0.0,0.0,0.0,0.0,3.0
54,8.0,8.0,7.0,7.0,13.0,10.0,9.0
55,9.0,2.0,20.0,13.0,40.0,29.0,21.0
56,9.0,8.0,7.0,2.0,10.0,15.0,14.0
57,16.0,8.0,13.0,16.0,9.0,14.0,3.0
58,21.0,12.0,25.0,30.0,48.0,32.0,51.0
59,0.0,0.0,0.0,2.0,1.0,5.0,3.0
60,11.0,8.0,13.0,26.0,22.0,25.0,29.0
61,8.0,0.0,1.0,1.0,3.0,3.0,1.0
62,16.0,9.0,14.0,13.0,17.0,16.0,40.0
63,1.0,4.0,2.0,1.0,6.0,2.0,2.0
64,10.0,12.0,11.0,3.0,5.0,7.0,6.0
65,4.0,14.0,8.0,21.0,22.0,28.0,20.0
66,0.0,1.0,0.0,0.0,4.0,2.0,0.0
67,4.0,5.0,4.0,1.0,8.0,10.0,6.0
68,1.0,0.0,3.0,2.0,5.0,2.0,2.0
69,8.0,9.0,9.0,8.0,4.0,2.0,10.0
70,4.0,9.0,7.0,14.0,18.0,15.0,12.0
71,24.0,7.0,7.0,10.0,28.0,21.0,36.0
72,1.0,6.0,7.0,4.0,2.0,5.0,6.0
73,1.0,8.0,5.0,5.0,9.0,1.0,7.0
74,1.0,1.0,1.0,2.0,3.0,1.0,3.0
75,4.0,3.0,3.0,2.0,6.0,0.0,4.0
76,4.0,4.0,1.0,2.0,10.0,5.0,2.0
77,9.0,9.0,11.0,7.0,8.0,1.0,11.0
78,6.0,4.0,3.0,4.0,2.0,5.0,5.0
79,10.0,7.0,9.0,9.0,3.0,0.0,1.0
80,1.0,1.0,2.0,2.0,7.0,1.0,4.0
81,2.0,1.0,1.0,0.0,1.0,2.0,2.0
82,6.0,12.0,10.0,7.0,5.0,7.0,2.0
83,9.0,13.0,17.0,14.0,17.0,25.0,18.0
84,12.0,18.0,2.0,3.0,13.0,2.0,18.0
85,10.0,9.0,7.0,10.0,30.0,18.0,5.0
86,1.0,5.0,4.0,5.0,11.0,12.0,7.0
87,1.0,5.0,7.0,2.0,3.0,5.0,3.0
88,85.0,87.0,93.0,84.0,108.0,143.0,106.0
89,26.0,29.0,24.0,22.0,65.0,5.0,26.0
90,6.0,13.0,15.0,6.0,10.0,6.0,4.0
91,1.0,1.0,2.0,2.0,4.0,1.0,1.0
92,10.0,10.0,8.0,5.0,15.0,11.0,13.0
93,2.0,6.0,1.0,3.0,4.0,1.0,2.0
94,3.0,6.0,6.0,4.0,4.0,4.0,1.0
95,17.0,17.0,16.0,34.0,30.0,20.0,62.0
96,7.0,3.0,2.0,5.0,10.0,12.0,5.0
97,1.0,6.0,2.0,4.0,5.0,8.0,6.0
98,7.0,3.0,2.0,2.0,3.0,2.0,2.0
99,9.0,4.0,8.0,7.0,8.0,6.0,8.0
100,17.0,26.0,14.0,15.0,13.0,14.0,55.0
101,14.0,21.0,18.0,13.0,19.0,27.0,19.0
102,2.0,1.0,4.0,3.0,6.0,0.0,1.0
103,1.0,1.0,2.0,1.0,1.0,4.0,7.0
104,2.0,11.0,9.0,6.0,20.0,15.0,12.0
105,9.0,14.0,8.0,22.0,28.0,18.0,16.0
106,1.0,1.0,0.0,3.0,0.0,0.0,2.0
107,0.0,2.0,1.0,4.0,4.0,2.0,2.0
108,7.0,5.0,6.0,8.0,3.0,6.0,5.0
109,1.0,1.0,2.0,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,1.0,0.0,0.0,0.0
111,2.0,7.0,5.0,2.0,8.0,0.0,4.0
112,6.0,7.0,1.0,4.0,7.0,5.0,6.0
113,0.0,0.0,0.0,1.0,1.0,3.0,2.0
114,32.0,28.0,31.0,31.0,19.0,21.0,30.0
115,3.0,8.0,10.0,5.0,12.0,5.0,13.0
116,2.0,2.0,0.0,1.0,6.0,0.0,2.0
117,61.0,42.0,64.0,55.0,94.0,81.0,43.0
118,1.0,1.0,0.0,0.0,0.0,0.0,0.0
119,16.0,22.0,16.0,15.0,22.0,21.0,27.0
120,2.0,4.0,1.0,4.0,4.0,2.0,3.0
121,69.0,62.0,22.0,23.0,35.0,49.0,21.0
122,3.0,2.0,2.0,3.0,1.0,10.0,6.0
123,3.0,4.0,4.0,3.0,1.0,2.0,8.0
124,8.0,8.0,12.0,5.0,11.0,14.0,6.0
125,0.0,3.0,7.0,4.0,2.0,6.0,15.0
126,3.0,4.0,4.0,4.0,3.0,8.0,8.0
127,3.0,7.0,8.0,8.0,6.0,8.0,8.0
128,45.0,48.0,62.0,46.0,68.0,54.0,43.0
129,10.0,9.0,15.0,11.0,28.0,29.0,25.0
130,10.0,5.0,11.0,12.0,6.0,11.0,7.0
131,2.0,2.0,1.0,2.0,5.0,8.0,2.0
132,14.0,15.0,12.0,24.0,20.0,32.0,13.0
133,4.0,9.0,10.0,10.0,12.0,5.0,6.0
134,9.0,11.0,9.0,3.0,10.0,20.0,16.0
135,7.0,5.0,8.0,4.0,8.0,3.0,2.0
136,20.0,12.0,27.0,26.0,21.0,17.0,47.0
137,2.0,6.0,4.0,7.0,11.0,7.0,5.0
138,46.0,72.0,134.0,81.0,54.0,32.0,30.0
139,7.0,5.0,11.0,14.0,18.0,11.0,16.0
140,1.0,0.0,0.0,0.0,0.0,0.0,0.0
141,1.0,1.0,6.0,2.0,3.0,4.0,0.0
142,1.0,2.0,0.0,0.0,0.0,2.0,4.0
143,7.0,7.0,7.0,2.0,4.0,10.0,9.0
144,4.0,4.0,4.0,0.0,3.0,2.0,3.0
145,13.0,13.0,9.0,16.0,21.0,10.0,19.0
146,20.0,16.0,10.0,15.0,17.0,26.0,19.0
147,1.0,5.0,0.0,0.0,0.0,0.0,2.0
148,0.0,2.0,0.0,2.0,1.0,1.0,0.0
149,46.0,53.0,56.0,51.0,82.0,81.0,62.0
150,5.0,5.0,0.0,4.0,3.0,4.0,3.0
151,9.0,5.0,5.0,12.0,6.0,8.0,4.0
152,19.0,27.0,19.0,25.0,26.0,31.0,27.0
153,7.0,7.0,7.0,7.0,17.0,20.0,22.0
154,2.0,5.0,8.0,2.0,3.0,3.0,1.0
155,27.0,59.0,54.0,21.0,18.0,42.0,22.0
156,10.0,2.0,4.0,4.0,9.0,10.0,5.0
157,8.0,9.0,7.0,14.0,23.0,13.0,15.0
158,5.0,1.0,1.0,5.0,2.0,1.0,0.0
159,15.0,13.0,11.0,19.0,38.0,18.0,15.0
160,0.0,0.0,2.0,0.0,4.0,1.0,0.0
161,5.0,17.0,6.0,9.0,5.0,8.0,5.0
162,1.0,0.0,1.0,4.0,1.0,4.0,1.0
163,0.0,1.0,3.0,2.0,5.0,3.0,3.0
164,1.0,0.0,1.0,2.0,4.0,2.0,0.0
165,4.0,4.0,1.0,3.0,4.0,3.0,5.0
166,6.0,4.0,7.0,4.0,11.0,9.0,9.0
167,12.0,6.0,17.0,8.0,16.0,14.0,14.0
168,2.0,0.0,2.0,9.0,0.0,2.0,1.0
169,55.0,41.0,35.0,30.0,76.0,61.0,37.0
170,8.0,16.0,12.0,13.0,9.0,18.0,15.0
171,4.0,15.0,15.0,9.0,10.0,6.0,9.0
172,7.0,6.0,8.0,14.0,8.0,12.0,8.0
173,7.0,2.0,4.0,4.0,5.0,4.0,2.0
174,3.0,1.0,3.0,2.0,2.0,2.0,6.0
175,0.0,2.0,3.0,2.0,5.0,4.0,2.0
176,3.0,4.0,8.0,5.0,6.0,7.0,8.0
177,8.0,7.0,6.0,7.0,21.0,33.0,10.0
178,0.0,2.0,0.0,0.0,0.0,1.0,0.0
179,28.0,26.0,20.0,23.0,39.0,31.0,28.0
180,4.0,4.0,7.0,9.0,11.0,6.0,10.0
181,27.0,27.0,33.0,27.0,50.0,76.0,41.0
182,11.0,13.0,14.0,20.0,16.0,10.0,13.0
183,14.0,11.0,13.0,12.0,5.0,10.0,16.0
184,19.0,20.0,29.0,10.0,34.0,42.0,26.0
185,3.0,1.0,2.0,3.0,4.0,2.0,11.0
186,11.0,7.0,10.0,12.0,14.0,22.0,19.0
187,24.0,39.0,22.0,23.0,33.0,15.0,28.0
188,10.0,4.0,10.0,8.0,4.0,6.0,3.0
189,23.0,19.0,12.0,15.0,22.0,29.0,15.0
190,6.0,4.0,9.0,7.0,6.0,12.0,2.0
191,10.0,21.0,3.0,8.0,5.0,1.0,11.0
192,14.0,10.0,23.0,7.0,34.0,31.0,26.0
193,15.0,4.0,9.0,15.0,12.0,15.0,8.0
194,2.0,0.0,0.0,0.0,4.0,0.0,7.0
195,177.0,170.0,186.0,175.0,318.0,327.0,182.0
