shop_id,2016-09-20,2016-09-21,2016-09-22,2016-09-23,2016-09-24,2016-09-25,2016-09-26
1,84,76,78,109,84,85,71
2,37,41,35,30,40,47,29
3,25,30,26,38,65,37,37
4,44,62,53,57,73,59,51
5,92,86,111,1,96,0,119
6,25,20,19,29,13,22,29
7,45,38,37,57,48,41,47
8,35,40,30,32,29,31,36
9,111,93,110,112,106,84,117
10,28,47,22,35,26,48,37
11,33,38,20,42,21,16,19
12,32,34,37,53,52,47,29
13,37,31,32,31,47,17,27
14,18,20,2,23,27,17,22
15,87,81,60,68,59,74,68
16,14,24,8,30,26,15,20
17,34,23,22,33,23,36,21
18,32,33,35,51,56,39,34
19,88,57,57,81,89,80,70
20,57,44,55,61,48,37,61
21,47,42,40,43,37,28,28
22,47,36,46,45,49,26,38
23,22,30,24,23,18,1,1
24,26,24,38,33,43,30,24
25,38,41,39,56,43,51,35
26,33,27,14,17,37,38,17
27,19,23,17,23,19,20,12
28,0,0,0,0,0,0,0
29,42,42,51,53,76,73,51
30,9,6,17,15,17,8,20
31,186,177,169,228,197,232,187
32,36,48,40,38,23,23,35
33,26,33,25,34,45,44,35
34,101,98,89,183,167,120,114
35,41,84,79,66,85,94,74
36,42,40,35,33,35,35,35
37,40,33,51,58,38,52,35
38,22,23,19,25,24,18,24
39,140,124,191,258,235,233,211
40,68,42,38,51,53,47,43
41,51,43,51,88,105,73,68
42,31,30,46,55,78,61,53
43,15,7,10,13,7,10,11
44,28,34,28,12,23,32,36
45,14,15,25,12,20,22,16
46,79,85,86,92,82,60,76
47,41,40,31,33,39,33,56
48,162,101,111,195,201,145,122
49,172,170,191,184,244,194,175
50,28,27,20,27,27,21,24
51,11,10,0,15,12,6,12
52,23,20,18,26,58,35,24
53,25,34,44,58,64,44,55
54,139,135,142,120,130,136,133
55,57,59,61,84,72,60,52
56,17,18,17,21,19,13,14
57,47,50,48,71,40,45,63
58,656,541,648,774,730,631,666
59,14,24,14,47,14,25,20
60,37,33,55,45,46,49,34
61,46,41,33,36,31,33,33
62,23,18,16,32,31,31,25
63,106,94,81,83,89,99,88
64,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0
66,7,8,6,13,11,13,8
67,30,29,47,57,32,39,27
68,10,28,26,30,36,32,22
69,47,40,46,59,61,64,51
70,18,32,31,22,24,23,27
71,48,45,41,62,36,39,50
72,273,228,228,272,267,253,284
73,40,32,42,38,44,40,54
74,24,25,18,25,37,30,24
75,31,50,28,47,35,55,36
76,0,4,5,13,18,14,20
77,16,21,29,37,17,23,28
78,13,6,12,10,7,10,9
79,36,36,34,29,9,12,40
80,27,35,21,26,36,24,32
81,48,42,54,56,61,58,66
82,20,8,9,31,20,9,14
83,19,39,21,59,47,41,36
84,94,74,75,99,123,110,76
85,31,24,28,32,37,26,13
86,68,62,49,88,94,57,50
87,51,50,23,55,12,17,59
88,147,145,169,197,263,192,139
89,20,13,19,47,26,25,21
90,76,60,88,132,146,116,89
91,38,46,38,46,105,55,50
92,49,42,52,56,64,54,39
93,10,39,40,49,34,32,42
94,30,42,51,35,41,39,50
95,23,20,18,13,20,17,11
96,29,25,29,29,32,27,30
97,77,71,57,70,61,65,103
98,15,15,12,17,28,23,17
99,11,10,1,8,14,8,17
100,61,68,79,83,81,49,77
101,53,67,73,87,100,87,53
102,77,52,84,61,55,72,72
103,3,10,5,8,7,7,10
104,19,30,23,31,24,12,24
105,28,32,28,39,44,46,32
106,23,27,17,28,26,28,28
107,34,38,14,62,77,37,20
108,22,13,24,28,26,25,9
109,62,53,67,68,78,57,73
110,46,66,62,79,63,38,60
111,29,32,16,31,21,14,30
112,75,64,77,73,68,75,55
113,64,0,51,25,34,37,83
114,138,103,126,196,130,102,125
115,128,138,133,147,116,130,119
116,148,127,156,160,150,164,172
117,71,41,51,79,103,91,58
118,18,16,21,16,18,18,15
119,16,12,17,17,24,13,15
120,177,130,180,172,174,180,160
121,12,13,15,16,11,16,20
122,15,21,23,27,27,15,18
123,65,53,53,60,68,66,77
124,183,134,189,191,179,159,235
125,4,12,5,12,11,6,5
126,26,35,28,41,25,24,34
127,10,13,14,17,31,15,15
128,26,37,27,36,41,47,22
129,81,67,81,86,95,88,83
130,144,158,136,135,192,140,163
131,51,33,58,53,41,39,48
132,33,29,27,38,37,29,20
133,22,17,16,19,29,13,20
134,69,92,100,91,73,88,116
135,63,41,50,66,61,55,46
136,20,17,16,23,12,20,25
137,27,33,34,30,19,19,29
138,99,102,100,123,80,71,81
139,16,11,27,34,36,21,21
140,89,76,88,87,75,68,96
141,12,16,12,18,21,17,18
142,54,54,48,57,43,41,64
143,14,11,16,20,21,17,23
144,37,42,48,64,67,61,52
145,21,27,18,23,24,22,24
146,241,280,258,309,335,309,237
147,39,43,54,50,46,33,44
148,19,19,30,44,26,21,27
149,90,94,57,121,133,111,105
150,25,23,18,54,59,38,30
151,22,34,29,21,11,8,27
152,27,22,27,39,25,23,22
153,28,33,29,43,51,41,24
154,6,1,0,1,6,5,8
155,38,37,42,62,48,47,46
156,63,63,75,83,56,72,65
157,26,27,35,49,33,24,24
158,39,31,36,35,40,31,37
159,18,18,24,30,34,21,21
160,52,57,68,39,25,35,71
161,30,35,19,34,40,44,36
162,22,18,28,27,25,20,21
163,35,28,32,37,39,37,32
164,23,11,12,6,7,8,17
165,19,25,27,56,47,23,30
166,31,27,17,39,39,42,22
167,41,46,49,40,41,51,47
168,51,53,52,63,62,58,64
169,50,60,33,75,77,68,41
170,25,15,29,22,32,33,26
171,50,49,60,47,50,46,52
172,81,66,75,72,109,89,77
173,90,79,95,102,86,127,81
174,68,90,72,76,95,86,98
175,41,38,45,52,78,73,39
176,30,19,29,52,42,48,25
177,25,24,31,43,30,31,23
178,69,51,69,69,43,42,61
179,7,16,19,14,10,11,10
180,124,137,128,163,179,207,176
181,35,29,23,34,30,33,18
182,23,16,19,21,28,29,19
183,24,26,20,31,13,6,19
184,17,27,29,37,28,37,33
185,33,32,24,36,26,10,33
186,49,53,50,49,59,54,43
187,11,18,23,27,22,20,16
188,41,28,28,60,43,34,28
189,225,221,216,230,255,263,215
190,1,1,3,15,13,3,5
191,19,31,28,34,11,14,29
192,28,13,13,28,19,13,13
193,34,33,48,63,66,36,40
194,6,11,4,5,10,7,8
195,25,35,24,38,44,39,22
196,9,10,24,24,45,45,14
197,17,15,17,42,32,15,15
198,23,23,27,23,18,16,27
199,73,63,60,90,63,70,66
200,56,48,67,91,135,93,63
201,27,28,23,53,46,31,25
202,50,80,47,49,47,57,72
203,154,128,167,211,262,226,148
204,28,31,23,28,23,16,14
205,34,23,33,47,35,31,29
206,22,19,25,30,38,23,22
207,29,41,26,48,73,51,26
208,30,36,37,38,42,22,28
209,31,21,19,34,50,42,28
210,33,28,35,32,47,32,31
211,23,26,19,46,46,24,23
212,27,25,27,38,49,46,20
213,32,26,29,29,26,49,29
214,21,16,19,35,37,40,39
215,40,48,44,74,91,72,47
216,17,14,11,10,11,13,17
217,100,109,118,148,167,142,0
218,1,6,6,4,1,2,1
219,51,53,60,40,59,49,51
220,58,51,41,45,41,22,41
221,21,36,28,44,38,38,37
222,3,9,5,3,5,11,9
223,69,63,64,89,98,72,62
224,2,5,2,5,0,1,4
225,14,17,19,21,9,17,13
226,73,71,71,74,70,52,67
227,20,28,35,33,34,29,10
228,30,36,28,38,24,31,26
229,38,14,26,23,40,31,15
230,36,42,22,40,28,34,36
231,30,31,37,36,32,33,37
232,16,11,27,31,19,23,28
233,118,109,114,151,132,132,117
234,45,48,46,72,56,49,58
235,35,48,46,65,65,44,45
236,16,10,17,13,24,28,13
237,27,22,24,23,37,23,32
238,32,22,29,36,24,24,18
239,30,26,25,44,38,33,22
240,66,46,76,88,51,43,73
241,25,18,24,20,24,44,34
242,34,24,33,37,20,26,39
243,125,133,151,162,215,179,140
244,105,121,139,99,102,112,140
245,41,35,35,37,54,36,43
246,0,7,9,14,28,19,8
247,2,55,67,53,59,49,71
248,19,26,30,24,23,18,38
249,30,45,23,23,8,9,24
250,21,27,24,34,47,35,35
251,20,9,5,19,9,13,12
252,56,60,56,255,263,51,26
253,37,46,27,42,42,51,50
254,34,62,18,19,21,32,37
255,23,25,21,20,14,19,19
256,93,108,117,122,146,127,121
257,44,32,38,43,27,34,48
258,15,11,9,23,23,25,15
259,36,35,38,33,23,32,33
260,22,23,29,25,27,22,27
261,31,29,22,33,54,45,39
262,35,57,59,51,45,52,39
263,91,57,79,58,76,77,84
264,71,94,77,91,87,75,84
265,32,27,43,41,42,26,29
266,1,12,13,13,11,14,14
267,22,21,23,23,20,25,24
268,13,39,23,49,49,34,35
269,62,49,66,55,30,37,49
270,22,24,27,29,29,33,35
271,21,27,33,21,20,23,24
272,109,92,105,94,83,100,101
273,31,31,48,53,55,38,31
274,18,17,8,21,21,17,26
275,229,236,233,196,223,241,277
276,45,29,60,70,44,64,65
277,21,26,26,33,49,50,27
278,77,76,96,110,108,112,85
279,226,242,228,281,275,265,208
280,14,14,15,11,15,24,19
281,52,50,63,62,61,51,56
282,60,60,63,69,64,50,75
283,33,32,29,42,56,48,35
284,11,15,17,29,28,33,14
285,20,29,14,69,36,62,27
286,2,3,5,1,0,4,0
287,67,49,63,57,61,63,61
288,21,20,17,24,19,15,22
289,28,38,21,22,20,26,26
290,11,13,12,22,17,26,16
291,20,22,27,28,17,19,38
292,21,30,29,31,25,16,41
293,87,105,83,106,87,75,83
294,25,30,27,30,27,27,20
295,31,38,31,55,50,62,100
296,166,213,172,205,253,233,181
297,103,112,103,105,135,95,134
298,208,183,169,192,311,267,170
299,107,95,74,131,105,89,85
300,19,9,33,42,31,29,48
301,20,17,27,24,25,29,25
302,48,59,53,20,30,55,46
303,19,23,14,23,30,23,13
304,78,80,69,112,81,88,61
305,38,45,32,61,65,49,35
306,100,128,74,63,18,7,104
307,27,27,25,42,55,37,31
308,11,13,8,6,4,4,12
309,30,22,29,22,9,17,18
310,58,68,78,91,80,76,75
311,4,10,5,8,2,0,6
312,21,29,19,20,17,15,31
313,1,147,178,159,10,7,155
314,40,38,25,42,60,39,42
315,41,36,35,41,47,26,41
316,55,54,63,44,75,73,59
317,28,24,10,24,36,37,30
318,39,58,38,55,57,53,45
319,51,41,54,41,39,61,39
320,81,80,73,119,133,115,90
321,21,29,29,20,17,25,24
322,26,10,24,31,23,14,15
323,40,36,34,65,46,23,42
324,42,35,44,61,41,41,57
325,18,11,27,44,24,32,21
326,13,14,18,23,42,34,19
327,33,27,37,31,31,21,25
328,59,52,40,60,58,50,47
329,15,43,45,34,38,31,39
330,21,17,20,57,37,29,22
331,1,3,0,0,1,2,1
332,41,36,32,62,54,43,53
333,38,35,39,44,32,41,41
334,78,68,81,83,92,73,70
335,26,24,6,28,13,13,24
336,134,105,94,167,170,152,114
337,28,30,30,35,22,22,21
338,170,127,162,228,315,301,177
339,32,35,43,35,32,37,44
340,55,30,59,43,70,35,50
341,49,48,53,82,70,63,45
342,27,50,37,39,39,46,37
343,19,26,29,35,24,21,29
344,45,37,54,75,84,65,40
345,40,30,41,32,29,27,35
346,68,72,76,64,71,64,81
347,16,14,17,19,23,11,13
348,131,124,127,136,142,124,130
349,27,17,26,27,29,25,22
350,40,29,38,41,25,29,44
351,22,15,16,17,18,10,13
352,7,13,8,9,0,0,10
353,26,13,23,30,20,13,39
354,45,45,49,50,43,69,53
355,6,17,0,11,1,5,11
356,44,39,43,70,43,38,29
357,34,38,40,49,42,42,28
