shop_id,2016-10-11,2016-10-12,2016-10-13,2016-10-14,2016-10-15,2016-10-16,2016-10-17
1,108,92,87,90,118,121,83
2,0,0,0,0,0,0,0
3,33,29,30,41,52,52,41
4,26,36,19,44,89,100,29
5,109,95,113,93,82,100,122
6,50,51,51,69,64,75,49
7,75,38,48,58,70,116,44
8,28,22,27,16,44,48,24
9,89,78,67,67,111,143,85
10,46,44,35,40,31,34,36
11,43,43,64,57,37,30,48
12,25,23,21,29,51,36,35
13,89,122,97,104,96,74,80
14,17,25,13,14,29,11,13
15,44,36,34,51,90,85,53
16,23,29,16,39,38,26,18
17,36,23,27,37,41,41,37
18,35,46,32,35,35,48,31
19,51,45,47,45,81,124,46
20,48,70,47,50,45,41,61
21,28,38,23,29,54,62,30
22,35,47,31,43,44,26,34
23,5,6,2,3,0,0,5
24,14,17,24,26,51,73,7
25,37,53,52,42,60,55,41
26,35,36,50,21,76,77,28
27,31,44,27,44,25,38,36
28,25,21,17,21,32,40,18
29,37,33,32,52,102,89,37
30,10,16,17,13,10,30,11
31,83,118,83,84,217,227,104
32,133,145,127,134,43,28,158
33,26,28,21,23,48,49,25
34,185,180,194,215,255,248,188
35,28,36,31,29,77,73,38
36,22,30,20,17,24,30,25
37,99,107,105,101,137,173,96
38,40,19,35,22,18,20,29
39,53,60,62,50,126,145,64
40,24,19,31,29,39,38,11
41,69,45,48,85,168,193,47
42,33,25,28,27,53,34,49
43,25,33,13,49,29,66,22
44,18,11,15,15,41,26,19
45,16,17,8,19,26,25,16
46,57,64,61,44,66,79,52
47,61,66,65,59,25,22,58
48,187,158,152,168,213,278,165
49,171,158,175,159,270,273,158
50,32,32,18,33,30,47,24
51,46,39,21,38,26,28,31
52,20,30,13,32,83,76,20
53,32,24,34,35,36,58,27
54,140,125,155,135,113,111,154
55,120,109,123,132,193,178,131
56,18,35,23,29,34,42,20
57,132,134,90,130,98,125,133
58,806,727,746,665,888,860,741
59,49,79,67,103,54,110,70
60,49,64,60,66,80,89,52
61,20,36,23,34,33,40,23
62,31,32,17,24,37,60,25
63,82,81,95,61,71,111,89
64,60,63,71,60,44,52,85
65,138,123,129,133,228,295,124
66,27,25,21,45,27,36,18
67,22,30,16,34,60,55,23
68,11,13,22,14,20,21,8
69,29,27,33,32,45,40,17
70,25,21,9,22,28,42,18
71,63,34,54,83,82,68,65
72,148,164,172,144,236,219,168
73,24,28,41,28,31,35,30
74,66,48,57,69,70,94,64
75,46,29,33,40,28,42,41
76,21,26,24,17,38,28,24
77,32,48,40,67,48,51,58
78,20,20,25,23,17,24,29
79,77,77,70,69,46,33,88
80,14,25,22,22,22,39,24
81,56,45,51,43,58,57,69
82,68,47,56,60,53,51,42
83,51,55,45,53,94,89,50
84,55,77,81,68,120,141,46
85,21,15,19,20,52,48,20
86,49,44,36,48,76,81,42
87,59,66,52,63,9,17,59
88,158,202,186,193,250,286,163
89,15,17,29,25,37,29,20
90,108,101,137,114,199,232,97
91,21,49,32,21,47,57,28
92,53,44,43,56,108,105,45
93,81,82,85,84,68,39,81
94,28,27,23,16,23,24,32
95,44,33,42,38,27,28,46
96,45,4,50,43,71,58,51
97,70,68,71,66,56,77,78
98,39,63,69,65,59,43,50
99,29,23,23,29,18,35,47
100,161,175,177,189,211,129,166
101,63,58,44,60,67,76,60
102,55,42,59,56,48,75,34
103,67,74,60,74,65,49,44
104,33,35,50,35,39,38,23
105,33,35,21,47,90,83,31
106,30,14,19,24,17,28,19
107,26,47,29,40,133,160,50
108,48,46,38,56,70,80,32
109,23,22,24,23,36,36,29
110,59,51,63,63,54,60,45
111,38,26,34,28,36,37,34
112,43,38,30,56,56,74,49
113,61,45,50,66,24,47,59
114,222,227,221,238,285,287,213
115,145,151,185,148,176,166,176
116,158,133,200,133,173,197,142
117,50,40,33,66,120,141,50
118,72,60,77,55,24,17,71
119,14,16,18,26,53,42,17
120,62,53,61,67,128,132,61
121,25,20,27,21,25,29,11
122,19,27,26,33,50,46,34
123,39,40,43,50,48,49,44
124,158,140,138,133,168,190,145
125,19,18,27,38,56,44,16
126,52,51,57,57,49,45,57
127,26,27,25,37,70,57,6
128,18,28,26,26,33,45,17
129,58,74,74,64,87,103,56
130,107,126,110,105,134,174,102
131,6,20,29,24,29,24,44
132,20,15,20,37,35,51,12
133,46,47,48,62,36,26,67
134,147,172,149,144,118,116,164
135,101,104,101,132,92,101,105
136,54,40,46,42,32,32,54
137,38,37,29,40,31,25,24
138,120,159,144,134,159,119,128
139,28,27,29,49,88,64,37
140,107,114,111,99,65,99,136
141,15,14,10,12,36,33,23
142,203,208,174,188,73,77,160
143,40,36,32,41,44,49,34
144,43,47,34,57,111,114,39
145,13,13,14,23,27,33,17
146,173,183,147,162,258,295,135
147,39,43,44,43,36,38,44
148,18,21,17,27,22,31,32
149,50,39,51,45,104,83,38
150,23,26,30,19,55,57,18
151,31,40,48,52,31,27,23
152,16,20,18,28,23,25,26
153,26,30,28,20,50,40,19
154,2,5,4,1,2,0,1
155,35,49,32,26,47,53,37
156,42,45,33,38,44,45,49
157,32,19,51,35,66,66,27
158,10,22,21,23,14,28,23
159,23,22,21,26,47,54,31
160,96,94,104,67,53,51,96
161,71,40,64,54,68,46,51
162,37,19,26,30,29,19,32
163,31,32,31,41,48,62,31
164,52,50,65,52,42,39,45
165,67,56,64,70,111,122,68
166,19,19,13,27,94,86,31
167,96,136,119,87,73,122,82
168,30,28,43,33,28,48,42
169,34,26,39,48,99,126,41
170,17,27,21,19,43,49,17
171,115,100,101,135,119,105,89
172,61,69,64,68,144,167,31
173,61,65,49,57,93,94,61
174,79,115,107,93,74,96,100
175,50,39,47,58,115,99,37
176,35,27,30,37,66,58,40
177,43,35,36,36,76,91,33
178,22,40,35,35,44,53,41
179,27,29,30,27,44,37,19
180,67,54,65,69,104,135,81
181,34,30,23,23,50,43,24
182,17,21,13,18,18,32,13
183,89,91,84,84,59,48,79
184,32,42,38,32,46,50,42
185,30,54,45,49,32,46,41
186,50,49,45,48,92,86,41
187,30,23,29,29,32,30,18
188,27,37,31,37,52,64,31
189,170,183,169,175,259,300,141
190,26,24,38,47,27,26,30
191,16,0,0,0,0,0,0
192,12,15,23,12,31,32,15
193,66,50,48,81,88,95,41
194,33,43,34,44,22,27,29
195,24,32,24,33,58,57,17
196,22,22,18,17,77,94,21
197,20,29,23,17,44,47,25
198,76,91,83,80,59,41,87
199,52,42,54,55,55,86,66
200,85,71,80,91,248,206,72
