shop_id,2016-10-18,2016-10-19,2016-10-20,2016-10-21,2016-10-22,2016-10-23,2016-10-24
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,2,3,2,1,7,4,1
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,1,3,3,4,3,2
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,3,4,3,2,3,2,3
29,0,0,0,0,0,0,0
30,1,1,1,0,4,3,2
31,0,0,0,0,0,0,0
32,1,1,2,3,3,2,3
33,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0
38,2,3,4,8,1,13,6
39,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0
41,5,1,6,2,5,1,2
42,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0
44,6,2,6,5,14,5,11
45,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0
47,3,4,3,4,6,1,2
48,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0
53,9,5,5,9,15,23,6
54,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0
56,4,3,3,1,4,1,2
57,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0
62,3,7,7,7,7,4,1
63,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0
68,1,0,4,4,4,3,3
69,18,9,27,3,26,25,15
70,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0
85,5,2,2,2,6,1,2
86,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0
95,0,0,0,0,1,0,0
96,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0
100,0,5,0,1,4,4,0
101,1,0,0,0,0,0,0
102,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0
104,6,5,2,0,3,3,1
105,0,0,0,0,0,0,0
106,2,4,3,5,3,7,5
107,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0
110,3,0,1,0,5,3,2
111,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0
115,0,2,2,0,0,2,2
116,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0
134,0,0,0,0,1,0,0
135,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0
140,2,2,3,1,2,1,5
141,0,0,0,0,0,0,0
142,0,2,0,0,0,0,0
143,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0
145,7,5,0,2,8,5,3
146,0,0,0,0,0,0,0
147,4,11,7,4,2,14,3
148,5,0,5,7,3,8,6
149,4,0,1,2,6,4,1
150,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0
157,5,0,3,0,5,4,1
158,0,1,3,2,1,3,3
159,0,0,0,0,0,0,0
160,3,3,5,5,2,4,1
161,0,0,0,0,0,0,0
162,0,2,4,0,4,5,4
163,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0
169,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0
173,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0
181,0,1,4,2,2,3,1
182,1,5,0,0,1,0,0
183,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0
185,0,0,0,0,0,0,0
186,1,5,1,3,5,3,4
187,0,1,2,3,1,8,1
188,0,0,0,0,0,0,0
189,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0
203,0,0,0,0,0,0,0
204,6,4,3,2,7,10,0
205,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0
207,0,0,0,0,0,0,0
208,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0
211,4,5,3,4,0,12,3
212,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0
219,0,1,0,0,0,1,0
220,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0
222,0,1,4,1,1,0,2
223,4,4,4,4,8,3,4
224,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0
226,2,4,0,1,3,0,0
227,0,0,0,0,0,0,0
228,0,0,0,0,0,0,0
229,8,2,1,7,9,5,17
230,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0
232,6,9,7,4,7,7,6
233,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0
236,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0
240,4,6,0,3,6,6,4
241,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0
246,0,0,0,0,0,0,0
247,0,0,0,0,0,0,0
248,0,0,0,0,0,0,0
249,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0
251,0,0,0,0,0,0,0
252,7,6,10,5,8,15,16
253,0,0,0,0,0,0,0
254,0,0,0,0,0,0,0
255,0,0,0,0,0,0,0
256,0,0,0,0,0,0,0
257,4,2,2,3,4,3,5
258,2,0,4,8,14,2,6
259,0,0,0,0,0,0,0
260,4,5,7,5,3,10,4
261,0,0,0,0,0,0,0
262,0,0,0,0,0,0,0
263,0,0,1,0,0,0,0
264,2,0,1,5,1,2,4
265,0,0,0,0,0,0,0
266,0,0,0,0,0,0,0
267,0,0,0,0,0,0,0
268,5,6,6,3,7,8,5
269,0,0,0,0,0,0,0
270,4,3,5,3,3,7,4
271,0,0,0,0,0,0,0
272,3,0,2,0,2,6,0
273,0,0,1,0,0,0,0
274,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0
277,0,0,0,0,0,0,0
278,0,0,0,0,0,0,0
279,0,0,0,0,0,0,0
280,0,0,0,0,0,0,0
281,8,7,3,3,4,14,4
282,17,10,8,16,10,11,8
283,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0
285,0,0,0,0,0,0,0
286,0,0,0,0,0,0,0
287,3,7,4,5,6,4,1
288,0,0,0,0,0,0,0
289,0,0,0,0,0,0,0
290,5,7,6,6,7,5,9
291,0,0,0,0,0,0,0
292,5,2,3,4,1,6,3
293,0,0,0,0,0,0,0
294,0,0,0,0,0,0,0
295,0,0,0,0,0,0,0
296,0,0,0,0,0,0,0
297,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0
301,1,0,1,2,1,2,0
302,0,0,0,0,0,0,0
303,0,0,0,0,0,0,0
304,0,0,0,2,0,0,0
305,4,2,2,7,6,9,6
306,0,0,0,0,0,0,0
307,0,0,0,0,0,0,0
308,0,0,0,0,0,0,0
309,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0
311,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0
313,0,0,0,0,0,0,0
314,18,5,12,16,21,18,11
315,3,6,4,3,2,7,5
316,0,0,0,0,0,0,0
317,0,0,0,0,0,0,0
318,0,0,0,0,0,0,0
319,0,0,5,1,5,2,0
320,2,7,3,8,12,17,7
321,0,0,0,0,0,0,1
322,2,1,1,3,8,7,5
323,0,0,0,1,0,0,0
324,0,0,0,0,0,0,0
325,0,1,1,2,2,3,1
326,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0
328,0,0,0,0,0,0,0
329,3,3,0,2,1,4,5
330,0,0,0,0,0,0,0
331,0,0,0,0,0,0,0
332,0,0,0,0,0,0,0
333,0,0,0,0,0,0,0
334,0,0,0,0,0,1,0
335,0,0,0,0,0,0,0
336,0,0,0,0,0,0,0
337,2,4,5,1,4,12,8
338,0,0,0,0,0,0,0
339,0,0,0,0,0,0,0
340,0,0,0,0,0,0,1
341,0,0,0,0,0,0,0
342,0,0,0,0,0,0,0
343,2,7,6,3,9,3,5
344,8,3,11,14,10,9,3
345,5,8,5,5,12,6,5
346,21,32,25,38,32,42,50
347,0,2,4,1,2,1,1
348,0,0,0,0,0,0,0
349,0,0,0,0,0,0,0
350,0,6,3,8,4,2,2
351,0,0,0,0,0,0,0
352,0,0,0,0,0,0,0
353,0,0,0,0,0,0,0
354,0,0,0,0,0,0,0
355,0,0,0,0,0,0,0
356,6,9,6,8,7,22,9
357,0,0,1,1,1,2,1
358,5,6,4,3,5,3,6
359,13,5,4,6,10,18,9
360,0,0,0,0,0,0,0
361,0,0,0,0,0,0,0
362,5,10,9,10,8,6,13
363,0,0,0,0,0,0,0
364,0,0,0,0,0,0,0
365,0,6,2,2,3,3,1
366,0,0,0,0,0,0,0
367,0,0,0,0,0,0,0
368,0,1,0,1,0,0,0
369,9,8,7,4,5,7,0
370,0,0,0,0,0,0,0
371,0,0,0,0,0,0,0
372,0,0,0,0,0,0,0
373,0,0,0,0,0,0,0
374,0,0,0,0,0,0,0
375,0,0,0,0,0,0,0
376,0,0,0,0,0,0,0
377,8,5,8,7,11,6,6
378,0,0,0,0,0,0,0
379,0,0,0,0,0,0,0
380,7,6,9,15,19,13,12
381,0,0,0,0,0,0,0
382,0,0,0,0,0,0,0
383,0,0,0,0,0,0,0
384,0,0,0,0,0,0,0
385,0,0,0,2,0,0,0
386,0,0,0,0,0,0,1
387,0,0,0,0,0,0,0
388,0,0,0,0,0,0,0
389,0,0,0,0,0,0,0
390,0,0,0,0,0,0,0
391,0,0,0,0,0,0,0
392,3,9,7,6,4,4,7
393,0,0,0,0,0,0,0
394,0,0,0,0,0,0,0
395,0,0,0,0,0,0,0
396,0,0,0,0,0,0,0
397,0,0,0,0,0,0,0
398,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0
401,0,0,0,0,0,0,0
402,0,0,0,0,0,0,0
403,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0
405,4,6,8,5,2,7,8
406,0,0,0,0,0,0,0
407,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0
409,0,0,0,0,0,0,0
410,0,0,0,0,0,0,0
411,0,0,0,0,0,0,0
412,0,0,0,0,0,0,0
413,8,13,5,3,12,6,5
414,0,0,0,0,0,0,0
415,0,0,0,0,0,0,0
416,0,0,0,0,0,0,0
417,0,0,0,0,0,0,0
418,2,9,1,2,6,7,4
419,3,1,7,7,1,1,4
420,5,1,8,3,5,4,3
421,0,0,0,0,0,0,0
422,0,0,0,0,0,0,0
423,0,0,0,0,0,0,0
424,0,0,0,0,0,0,0
425,0,0,0,0,0,0,0
426,6,15,11,13,12,12,10
427,0,0,0,0,0,0,0
428,0,0,0,0,0,0,0
429,0,0,0,0,0,0,0
430,17,16,18,24,10,24,12
431,1,5,4,4,7,3,0
432,0,0,0,0,0,0,0
433,0,0,0,0,0,0,0
434,0,0,0,0,0,0,0
435,0,0,0,0,0,0,0
436,1,5,12,13,6,8,6
437,0,0,0,0,0,0,0
438,12,12,20,15,14,22,8
439,0,0,0,0,0,0,0
440,0,1,1,1,0,1,1
441,0,0,0,0,0,0,0
442,0,0,0,0,0,0,0
443,0,0,0,0,0,0,0
444,0,0,0,0,0,0,0
445,32,30,43,38,49,49,37
446,0,0,0,0,0,0,0
447,0,0,0,0,0,0,0
448,3,4,5,1,2,3,2
449,0,0,0,0,0,0,0
450,0,0,0,0,0,0,0
451,15,21,18,17,27,27,22
452,6,3,1,1,1,5,2
453,0,0,0,0,0,0,0
454,0,0,0,0,0,0,0
455,0,0,0,0,0,0,0
456,4,1,2,0,0,4,2
457,0,0,0,0,0,0,0
458,2,2,2,8,8,7,6
459,0,0,0,0,0,0,0
460,0,0,0,0,0,0,0
461,0,0,0,0,0,0,0
462,0,0,0,0,0,0,0
463,0,0,0,0,0,0,0
464,0,0,0,0,0,0,0
465,0,0,0,0,0,0,0
466,0,0,0,0,0,0,0
467,0,0,0,0,0,0,0
468,1,4,2,0,2,3,0
469,0,0,0,0,0,0,0
470,0,0,0,0,0,0,0
