shop_id,2016-10-25,2016-10-26,2016-10-27,2016-10-28,2016-10-29,2016-10-30,2016-10-31
1,96,39,81,91,87,93,83
2,35,42,34,38,12,32,33
3,42,24,30,42,34,25,26
4,47,62,21,64,71,59,57
5,68,1,0,98,69,123,112
6,20,26,33,50,23,16,12
7,46,47,49,56,54,42,32
8,32,32,39,27,24,23,14
9,98,83,148,100,130,88,102
10,33,47,33,26,50,50,52
11,21,31,27,27,17,14,27
12,16,22,34,41,29,39,26
13,34,35,25,26,22,25,29
14,17,14,11,12,9,10,12
15,68,59,59,76,74,58,68
16,17,10,14,16,22,13,13
17,28,31,17,38,29,28,22
18,30,59,52,45,56,60,41
19,80,38,69,82,67,79,69
20,56,43,60,44,56,39,67
21,30,34,34,38,40,24,37
22,57,56,56,73,63,64,44
23,4,0,0,22,17,12,28
24,31,38,15,26,32,26,21
25,51,49,46,58,47,41,52
26,15,23,28,32,44,38,25
27,20,18,18,17,15,14,18
28,27,28,33,38,24,31,23
29,39,38,50,80,106,68,62
30,19,15,17,26,14,13,22
31,177,195,105,220,242,228,174
32,34,53,40,49,26,19,50
33,25,33,29,18,41,33,22
34,113,106,109,159,207,157,132
35,68,53,262,58,68,64,58
36,34,33,28,26,37,47,37
37,53,30,38,38,38,42,30
38,21,24,28,23,18,12,19
39,165,88,164,151,124,143,150
40,61,14,43,44,36,52,46
41,59,37,53,70,72,75,50
42,27,31,35,27,35,27,55
43,10,13,15,24,13,11,8
44,21,26,26,34,38,38,38
45,16,6,14,16,16,17,11
46,64,69,83,90,56,53,66
47,38,42,26,36,23,17,33
48,148,157,123,182,213,160,145
49,212,139,176,189,220,199,230
50,28,26,25,36,17,20,37
51,9,15,12,14,9,6,11
52,21,34,21,28,49,22,30
53,49,45,39,62,40,48,37
54,125,129,138,106,145,94,154
55,65,60,77,96,90,100,70
56,24,17,20,29,23,15,16
57,65,125,61,97,43,53,38
58,632,438,670,594,697,654,601
59,18,18,19,50,15,19,15
60,48,50,46,47,63,48,56
61,30,35,35,35,40,30,28
62,25,22,21,22,26,30,21
63,107,88,88,86,91,77,89
64,64,75,68,61,57,57,65
65,138,114,136,173,144,154,176
66,14,16,10,36,16,28,18
67,25,28,14,35,35,25,22
68,21,25,21,29,28,18,30
69,35,50,52,74,58,48,30
70,30,31,35,33,39,31,30
71,52,51,40,35,53,39,36
72,257,253,256,291,204,208,357
73,44,20,31,41,39,40,31
74,22,24,18,24,32,32,33
75,38,33,16,41,34,54,24
76,14,7,15,18,35,6,14
77,39,26,31,27,22,39,20
78,12,12,14,10,6,10,9
79,25,44,37,32,8,7,34
80,40,31,41,34,29,26,41
81,59,32,51,5,37,43,39
82,18,19,18,16,21,29,19
83,36,28,40,47,59,22,27
84,83,73,59,119,115,83,76
85,28,16,16,35,39,20,17
86,59,58,65,65,68,72,58
87,48,59,57,45,4,11,53
88,164,192,150,211,223,194,173
89,21,25,23,28,65,48,22
90,92,55,67,141,151,131,61
91,38,39,33,38,36,58,40
92,46,37,53,66,77,74,65
93,39,53,52,46,32,28,47
94,28,70,37,46,39,26,30
95,29,17,28,24,17,18,18
